0.0144345+0.0583436j 0.00665473+0.0170249j 0.00132773+0.0353172j 0.0181079-0.0306574j -0.00944755-0.0400147j 0.0170914-0.0346101j 0.0299737-0.0250921j -0.00622374+0.0368182j 0.00353617-0.0121824j -0.010581+0.0409255j -0.0405311-0.0124837j 0.00321687-0.0560788j 0.00887262+0.0129113j -0.035322+0.00294245j 0.0159116-0.0453071j 0.0413103-0.00756849j -0.0219537+0.00230791j 0.0346226+0.00628614j -0.014675+0.0369747j 0.0237136-0.00524477j 0.0398931-0.0350141j 0.0158655-0.00445286j 0.00649315+0.0142074j 0.00850284-0.0150203j -0.02539+0.014426j -0.0245761+0.0402343j -0.0635839+0.0242201j 0.00278982-0.0101714j 0.0117474+0.00109573j -0.0166395+0.0155837j -0.0188666-0.0223089j -0.0261017+0.0249932j 0.000387303-0.0075088j -0.0140437+0.000598594j -0.00529841+0.0158501j 0.0167022+0.031053j -0.0125639+0.0287889j -0.0237401+0.0205502j -0.0104189+0.0264002j -0.0105706-0.026194j -0.0584383+0.0349776j 0.0068862+0.0074293j 0.0268338+0.0102728j -0.00938236+0.0140386j 0.0469031-0.0412274j -0.00183219-0.0549059j -0.0281919+0.0694243j 0.0572961+0.0022706j 0.0448871-0.0555893j -0.0253131-0.00679745j 0.0402817-0.0319997j 0.0418404-0.064253j 0.0442456-0.0600313j -0.107083+0.100916j -0.00563247-0.0658559j -0.1502+0.0731319j 0.0076166+0.108726j 0.158096+0.00341693j -0.237084+0.235815j 0.0474581+0.0602213j 0.157408-0.0856964j 0.0326765+0.000970516j 0.0479854-0.0782142j -0.064836+0.0756118j -0.0308019+0.0345022j -0.0302593+0.152538j -0.144769+0.0658381j -0.101002+0.164031j 0.138489-0.0660589j 
-0.0110054-0.0302715j -0.0518076-0.00772746j -0.0301191+0.0139404j 0.0444542+0.0233471j -0.0471303+0.0286703j -0.00202511+0.0303766j -0.0394928-0.0728445j 0.0390379+0.0370913j 0.0188146+0.0196652j 0.0265363-0.00451558j 0.105982+0.00683716j 0.024869+0.0762617j -0.0780821+0.0206747j -0.00494267+0.00636768j 0.0199583+0.0851839j -0.115132-0.121891j 0.0735186+0.0974288j -0.0790554-0.129807j 0.0336178-0.0357373j -0.021913-0.00603046j -0.0302302-0.117346j -0.0185305+0.103902j 0.061536+0.105035j -0.0117263-0.0620517j -0.00479401+0.00878886j 0.0670075+0.121407j 0.0416896+0.0656032j -0.0103942+0.0638118j 0.0291305+0.0613675j -0.00171975+0.00343974j 0.110796-0.0933565j -0.0899749-0.0161573j 0.0358+0.000514583j 0.0224604-0.0111366j 0.0152163+0.113719j 0.011963-0.0995338j 0.0352061+0.00884689j -0.0501207+0.0489454j 0.115957-0.064855j 0.0103208-0.0190488j 0.0401569-0.0253674j -0.0905491+0.027407j -0.0143068-0.0310915j -0.00154175-0.055163j -0.0367095-0.0809906j -0.0179147-0.0257617j 0.0752782-0.00186812j 0.0733004-0.01089j 0.00666291-0.00127366j -0.082986-0.0360744j 0.0114903+0.0119021j -0.00025594+0.00667126j 0.0010892+0.034197j 0.00377856-0.0132058j -0.0397879-0.00874569j 0.0961+0.0369289j 0.00960313-0.00549607j -0.0411352-0.0484496j -0.0136546-0.00313784j -0.0139226-0.0381353j -0.012546-0.0520046j -0.0529019+0.0142812j -0.00861708+0.00878062j 0.0388153+0.0487087j 0.0542869+0.00774462j 0.0363551+0.00521845j -0.0398785-0.0292018j -0.008056-0.00959737j -0.0211935-0.0366986j 
0.0278672-0.0847133j -0.0977925+0.0207826j -0.0756194+0.013931j 0.00596974+0.0650259j -0.0159199+0.0172781j 0.00831368+0.0523117j -0.0639538-0.0179858j -0.00921752-0.058796j 0.0350364+0.112487j 0.154502-0.00658634j 0.0755478-0.0408675j -0.0868837+0.148904j -0.0298729+0.121333j 0.0296464+0.157677j -0.0424368+0.0110299j -0.110222+0.0461741j 0.121165+0.0363156j -0.0920897+0.0342774j -0.0306035+0.0174798j 0.0497207+0.025657j 0.0038181-0.0192608j 0.0460384+0.0683443j 0.0351346+0.145469j -0.00450434+0.0317717j -0.0389265+0.0150562j -0.110407-0.00638454j 0.00981282-0.0403113j -0.0306588+0.0743472j -0.0199046-0.0442118j 0.0556947-0.0152463j 0.00138804-0.0469665j 0.00341096+0.0663509j -0.0461036-0.0662507j 0.0132737-0.119859j 0.106708+0.0841672j 0.0225959-0.130223j 0.0274067-0.000900777j -0.0596446+0.0528176j 0.0354015+0.0954421j -0.0177212-0.00202827j -0.027374-0.0533314j 0.0339819-0.0225254j 0.044433+0.0674327j -0.0264346-0.0637931j 0.00449756+0.0125444j -0.0166879+0.00068871j -0.03948-0.0528586j 0.0241783-0.0365763j -0.0177691+0.00809553j -0.074827-0.0318654j 0.0702764+0.0289812j 0.04168-0.0186725j 0.0131167+0.00977082j -0.0329442-0.0240949j 0.0150256+0.0125995j 0.00369147+0.00791138j -0.0396223+0.0172357j -0.0608627-0.00925444j -0.0498338-0.0251397j -0.0543766-0.0498216j 0.0296173+0.0119132j 0.0121194+0.0542418j -0.0295576+0.00744785j 0.00214838-0.0230578j 0.0247767-0.021114j 0.0175447-0.00666622j -0.0551244-0.0206292j -0.0525571-0.0241261j 0.00853819-0.0239383j 
0.0726342-0.0484914j -0.000949494-0.081834j 0.0122679+0.00399275j 0.0131219-0.0356287j 0.00284895-0.0106409j 0.0178777+0.00873883j -0.0682029-0.0273015j 0.0244177-0.0246769j -0.0858018+0.00502158j 0.127008+0.0450089j -0.190456+0.237158j -0.0135224+0.00218863j -0.025238-0.139934j 0.0262255+0.128359j 0.0187452-0.0319361j -0.0880873+0.0801014j 0.14017-0.0718747j -0.0582918+0.043121j -0.0397229-0.00953606j -0.0166541-0.00102315j -0.0755346+0.0361707j 0.123223-0.0597093j 0.0893208-0.0475132j -0.113896+0.0239122j -0.0761184-0.0457196j 0.0196709-0.0187841j -0.0809706-0.0150842j 0.0463565-0.0259054j 0.0768763-0.00560952j 0.0455007-0.0991132j 0.00226714+0.0379462j 0.0487041-0.00726809j -0.0878058+0.0504369j -0.0767556+0.0203228j 0.0224851-0.0161812j -0.0762094+0.00844736j 0.0181519+0.0226959j 0.075947-0.00937799j 0.154408+0.0203205j 0.000258854+0.0225286j -0.0472169+0.026185j 0.0410942+0.0727756j 0.0338626-0.00658993j -0.0724975-0.002241j 0.0206649-0.00316002j -0.0194086-0.0266685j -0.0120033+0.000502668j 0.0661495-0.0697574j 0.0131705-0.0362337j -0.0969395+0.0604245j 0.0244311-0.0700301j 0.0147531-0.00717782j 0.00950847-0.037429j -0.00196786+0.0411619j -0.0320804-0.0180707j -0.0265651+0.00773453j 0.0205888-0.015728j 0.0148162-0.00114759j -0.00413293+0.0256841j 0.0102965+0.041076j 0.00627023+0.0199489j 0.0364433+0.0240651j -0.0251703+0.0026501j 0.0235143-0.00794771j 0.00185018-0.0280363j 0.0406959-0.0189423j -0.0346117+0.0228885j 0.0132332-0.00541029j 0.0198631+0.0119941j 
0.074449+0.0668146j 0.0461652-0.0734218j -0.0156393+0.160469j 0.139557+0.0262356j -0.00898956+0.0349855j -0.0446764-0.0304979j 0.0373722-0.0150452j 0.0731886-0.00486058j -0.1242-0.034442j -0.038439+0.0914857j -0.193633+0.024877j -0.00511489-0.238898j -0.0180043-0.134423j -0.20819-0.0757068j 0.213334+0.164281j 0.0366896+0.104001j 0.0127054-0.0567574j 0.0235993-0.0334793j -0.142284-0.0268768j 0.0180483-0.172301j 0.0382196+0.153666j 0.0255505+0.0491692j -0.000171465-0.149728j -0.00156974+0.0376117j -0.056935+0.064095j 0.135349+0.00158971j -0.0831328+0.192706j 0.0608336-0.0854161j 0.0654299+0.0366463j -0.0199632+0.0781527j 0.0424369+0.0243875j -0.114521+0.0625313j 0.0410931+0.0848882j -0.0524757+0.0456693j 0.0174053-0.0271628j -0.0116892+0.0103622j -0.065345-0.0490512j -0.0409631-0.0267752j -0.023674-0.0518081j 0.0161387-0.00707304j -0.0365672+0.0304359j 0.00864515-0.00135949j -0.0319388+0.0211692j -0.0075734-0.0553819j -0.0267753-0.0402861j -0.0522236+0.0168565j 0.0384527+0.0165022j 0.0285384+0.0237077j -0.01956+0.0158549j -0.00049151+0.0288279j -0.0133632+0.043547j -0.0207134-0.011726j -0.004943-0.00225922j 0.0368842-0.00429979j -0.0614952+0.0429415j -0.0158637-0.0194318j 0.00215012-0.0084587j 0.00567802+0.0200501j -0.0226604-0.00822305j -0.0250811+0.00928734j 0.0514024-0.0856764j -0.00991252+0.0323679j -0.0197198+0.0154981j 0.0261536-0.0133997j 0.0448238-0.0175098j 0.035627+0.0045787j 0.0260983-0.0141537j 0.000825176-0.000989058j 0.00731958+0.0112886j 
-0.0791309+0.0465932j 0.0664108+0.0886283j -0.0158323+0.00065351j 0.0336045+0.0511397j 0.13987+0.0265671j 0.0263519-0.0459973j 0.0121671+0.0446389j -0.001123-0.102359j 0.0680161+0.0224818j -0.152225-0.0337988j 0.00335021-0.164156j 0.130752-0.0837196j 0.205668+0.123455j -0.06988-0.0550636j 0.142298-0.0635004j -0.126448-0.00635504j -0.00120339+5.27533e-05j -0.0804318-0.00372992j -0.0322961+0.0833268j -0.108859+0.0571553j 0.025141+0.0582854j 0.00213933+0.057154j -0.123027-0.0158761j 0.0367817+0.109795j 0.0786131+0.0693154j 0.0307747-0.119495j 0.151401+0.0413661j -0.00250047-0.152644j -0.06473-0.113489j 0.0354842+0.0975497j 0.064488-0.0343929j -0.0123264+0.0827084j -0.0206689-0.0164673j 0.0511242+0.0188597j 0.0282902+0.00220308j 0.107996-0.00916379j 0.0390523-0.0240429j -0.0411632+0.0321976j -0.00443242+0.068123j 0.0348306-0.0634357j 0.0453141-0.0713617j -0.0462244-0.0630073j 0.00256678+0.0493759j 0.00739257-0.0376677j -0.0239984-0.000993227j -0.00387605-0.0371492j 0.0185066-0.0116145j 0.00335736-0.00629578j 0.0227572-0.0386914j -0.0631196-0.00837297j 0.0186529+0.0681698j -0.0233294-0.00551923j -0.00743601-0.0473147j 0.0242623+0.00185956j 0.0230263+0.043325j 0.0385038-0.00994636j 0.0336647+0.0448497j -0.00174052-0.0232038j 0.00696927+0.0408754j 0.047627-0.0555452j -0.0297498-0.0224397j -0.0289752+0.0217512j 0.0234568-0.0478793j 0.0268602+0.00492761j 0.0103446+0.00239317j -0.0232537+0.0106223j -0.0161201+0.0318289j 0.0254233+0.0294191j -0.019537-0.0125107j 
-0.062372-0.00543958j -0.0374991+0.0597949j 0.0129605-0.0654856j 0.000290468-0.0928879j -0.0693403-0.074798j 0.0137209-0.0494188j -0.0225937+0.0454292j 0.0848301-0.00813982j 0.0899799+0.0211582j -0.00121889-0.0657075j 0.0189293-0.0472101j 0.0509891-0.0847096j -0.00938715+0.0279599j 0.0925086+0.0254663j -0.0045476-0.239656j 0.0285284+0.0339693j 0.0147477-0.0410325j 0.0169369+0.0411677j 0.0465765+0.12041j -0.0181997+0.135092j -0.0538804-0.0228625j 0.0187473-0.0174018j 0.0950548-0.0341357j -0.033469+0.0288759j -0.050004-0.0188074j 0.0950728-0.0410479j 0.000957383-0.0460233j 0.0927504-0.149653j 0.110922-0.0436068j 0.088744+0.0402384j 0.0069948+0.0608692j -0.0741407-0.0145814j -0.0175127-0.0225349j 0.0179408-0.018088j 0.0582113+0.0592562j 0.0901798+0.0152374j -0.00544749-0.00203855j -0.030915-0.0255423j -0.0104606+0.0471015j -0.0139082-0.0329145j -0.00817795+0.030959j -0.034108+0.00183281j 0.0201307+0.0017855j -0.0258229+0.0524004j 0.0123259-0.000892375j -0.0174711+0.0288716j 0.0844723-0.0145463j 0.010401-0.0325285j -0.0179085-0.00145154j 0.0142308+0.047375j 0.00727333+0.0256949j -0.0516376+0.0683255j 0.0625887-0.00522785j 0.00805527-0.0474516j -0.0369486-0.0169231j 0.0634553-0.0162691j -0.035421-0.00231944j -0.0290024-0.0182278j -0.0591182-0.00855424j -0.0478933-0.0495577j -0.024818-0.00137161j 0.000291878-0.0275962j 0.0497492+0.00203513j 0.00541171+0.0106988j 0.0548211-0.00631698j 0.0290031+0.0018896j -0.00990676+0.00537714j -0.0385015-0.00845772j -0.0267098-0.0134353j 
0.0313281-0.0540758j -0.0564201+0.00678376j -0.0810488+0.0243665j 0.0121734-0.00790355j -0.109809-0.0110983j -0.0616797-0.0130554j 0.0302858-0.00122873j 0.0769822-0.0565584j 0.0615695+0.0720834j -0.00602419-0.021035j 0.048902-0.0300313j -0.0445389+0.0183994j -0.0412091+0.0436496j -0.0306135+0.104919j -0.0344431-0.0359785j 0.101663+0.0705632j -0.0409206-0.0212669j 0.053076+0.0420908j -0.019361+0.0449079j 0.186817+0.0405805j 0.0188274+0.0157024j -0.0722225+0.0112314j 0.0389138-0.00564344j 0.0373013+0.0444159j -0.0249981+0.0137937j 0.0681753-0.0443785j -0.0289813-0.00757536j -0.00139196-0.0492175j -0.00288499-0.0427575j -0.0317726+0.0332445j 0.00352735+0.000177338j -0.0931243+0.0421846j 0.0260909+0.00018372j -0.0118312-0.0281591j 0.0459306+0.0455319j 0.00277432-0.0311191j -0.0181315-0.0235338j -0.111801-0.00586736j -0.0909822+0.0434157j -0.0525587-0.0418417j -0.0383587-0.00589428j -0.00105366-0.0285849j 0.0551249+0.0634526j -0.00517542-0.000633586j -0.0109817+0.00837764j -0.0395807+0.0256095j 0.00480945-0.012874j 0.0308346-0.016194j -0.0233386+0.00601699j 0.0403524+0.00955732j 0.0107698+0.0242735j -0.000562845-0.0100567j 0.0201059-0.0240023j -0.0542207-0.00966228j -0.031192+0.0316199j -0.0191224-0.008959j -0.0187347+0.0228625j 0.0513052+0.0204559j -0.0811539+0.00563704j -0.0214774-0.0140203j 0.0675011-0.00817562j -0.00429173+0.015643j -0.0142662-0.00908045j -0.0287959-0.0305035j 0.0149824-0.0164382j 0.0303088-0.00743755j -0.0265151-0.001833j -0.0360275-0.00664025j 0.0419454-0.00183079j 
0.0574201-0.0394401j -0.00140618-0.0902236j -0.0214177+0.0648739j -0.04113-0.0816606j -0.0434062+0.145841j -0.0309796-0.0398649j 0.113853-0.0245588j -0.0312113-0.113669j 0.0245338+0.0253285j 0.083567+0.0787543j 0.0436728+0.0437193j -0.0292887+0.0513267j -0.0217564-0.0847175j 0.00394507+0.039035j -0.0973768+0.0201922j 0.0694588-0.0564525j -0.11802-0.0375163j 0.060322-0.0954032j 0.0401521+0.0744869j 0.0856011-0.0733857j 0.00386486-0.00433331j -0.0345452+0.171115j -0.0644668-0.0547242j 0.038582+0.0567181j -0.0620077-0.0684491j -0.0492472-0.0915241j -0.10478+0.00935816j 0.0506791-0.00811052j -0.0838132-0.103339j -0.0685001-0.0541175j -0.108621-0.0883499j -0.0200094+0.071028j 0.0212266+0.0800921j -0.0770951+0.0537013j 0.0980652-0.0487458j -0.0447626-0.0651781j 0.0205142+0.0123732j -0.0147425+0.0735079j -0.0242673+0.0444373j 0.00711123-0.00445518j 0.00970149-0.042643j 0.0296805-0.00347331j 0.0260903-0.057105j -0.0198202-0.00746475j 0.0390611+0.00849919j -0.0187103+0.0216815j 0.0330814-0.0540248j -0.0228152-0.0916166j -0.0192261+0.0310546j 0.0100118-0.0438683j -0.01253-0.0121084j 0.00420295+0.0774554j 0.00962367-0.0439434j 0.00754938-0.0144306j -0.0433902+0.048019j -0.0400247-0.0127797j 0.034038-0.0235112j 0.0287742+0.0220868j 0.0261564-0.00303453j 0.00526115+0.00479127j 0.0409063-0.00882711j 0.0229474+0.0336793j -0.0107708+0.0136269j -0.0116065+0.0159818j 0.00579682-0.0770036j 0.0393628-0.0573805j 0.0189941-0.00475689j 0.0127926-0.0148464j 0.0203747+0.0152383j 
0.0167226-0.0655568j -0.0367381+0.0207738j -0.00683134-0.0970139j -0.0321362-0.0421864j -0.0816157-0.142368j -0.0594084-0.0430365j 0.00991967+0.0600373j -0.0106472-0.0330893j 0.0348821+0.0141402j -0.0113351-0.10793j 0.0342366+0.107909j 0.00050875+0.0350311j -0.0446574-0.0290631j 0.0285832+0.0516038j -0.0610509-0.10121j 0.0305471+0.106666j 0.00225199-0.0319482j 0.00299791+0.0975097j 0.00821153+0.0266049j 0.120877+0.171499j -0.0165157+0.022163j -0.0139657-0.13329j 0.0536711+0.0378459j 0.00614713+0.0621132j 0.00475139+0.0157691j 0.0588796-0.00414286j -0.00838619-0.0284885j -0.0445286-0.0567508j -0.0166068-0.0290343j -0.026854-0.052815j 0.0175984+0.0369508j -0.0202662-0.00968385j -0.00282857+0.0420184j -0.0181918-0.0181223j -0.00412664+0.0266281j -0.00850761-0.029227j -0.00444541-0.0411244j -0.0391091-0.0472511j 0.0146321-0.0206974j -0.0298131-0.0291729j -0.0125068+0.00943691j -0.00629083-0.0194795j 0.0588878+0.025781j -0.0081231+0.0526948j -0.0259253+0.00178711j -0.0184528+0.0231747j 0.0105884-0.000216869j 0.0221386-0.0281661j 0.00238268-0.00156831j -0.0264819+0.0881225j 0.0101087-0.0415726j -0.000320137-0.0104243j -0.00279925-0.0215844j -0.0232706-0.0207316j -0.00313065+0.0278228j 0.0051198+0.016172j 0.01875-0.00162657j 0.0267048-1.81193e-05j 0.00692944+0.0232597j 0.0100852-0.0122533j 0.00528528+0.0181975j 0.00787529-0.0310955j -0.0197044-0.00665077j 0.00666454-0.0341236j -0.00348692-0.00957861j 0.0196137-0.0270373j -0.0315659+0.0271837j 0.00909787+0.000520428j 0.0104552-0.00647294j 
-0.0301279-0.0128962j 0.0675521-0.0849156j -0.051962-0.0626666j 0.00891443+0.0373174j 0.0981409+0.0427941j -0.0537863+0.0210118j -0.0122978-0.131971j 0.00951341-0.00541475j -0.0291446-0.0269417j -0.0376019+0.0319694j -0.0353529+0.120189j 0.0577554+0.0411384j 0.0444013-0.066133j -0.00727188+0.0041443j 0.0176725+0.0750515j -0.0837787-0.0594005j 0.031+0.0961072j -0.0772973-0.0312461j -0.00339696-0.0580788j 0.0820299+0.000527102j -0.0697916-0.00753929j -0.0120728-0.00558592j 0.000278741+0.0518094j -0.018801-0.00336931j -0.0412542-0.00353596j 0.0299236-0.0553157j 0.0192092+0.01098j 0.0181429+0.0176241j 0.00661376+0.0199602j 0.00854838+0.013825j -0.0375364-0.00756368j 0.0208121+0.0180512j 0.02015+0.0169928j -0.00845993+0.0205038j -0.00389717+0.0152793j -0.0444566-0.0342336j 0.00358837-0.0178746j 0.0270868-0.0281256j 0.0214682-0.0191307j -0.0241378+0.0219578j -0.0019735+0.0182042j 0.0170173-0.0259262j -0.000272039-0.0253675j 0.00138344+0.0627836j 0.0121019-0.00827196j 0.0170933+0.0266676j 0.0402727-0.0362103j -0.0198501-0.0321352j 0.0243331+0.00619389j -0.0293141+0.0608015j -0.0270214+0.000207072j 0.0228889+0.027926j 0.01362-0.0119126j -0.0158977-0.0189557j 0.0302694-0.028175j 0.0409516-0.00190595j -0.00615327-0.0176229j -0.0420976+0.0257999j 0.0534764-0.00424156j -0.0240259+0.0159699j -0.05223+0.0342311j 0.00320166-0.0279542j 0.0163765-0.000371257j 0.0344903-0.0236556j 0.000116321-0.0369654j -0.0164849-0.0207063j 0.00179721+0.00944618j 0.0154284-0.0034715j -0.0556015+0.0235668j 
0.0759973-0.0958121j 0.0190877-0.0122131j -0.0372905+0.0545265j 0.0880552+0.0712415j -0.0547914+0.0702502j -0.0396326+0.0590378j -0.0089677+0.0281894j -0.0489462-0.11788j -0.0364842+0.0459609j 0.0254044-0.0191005j -0.0253917+0.00287102j -0.0193976+0.0931666j 0.0453547+0.0455947j -0.0541028+0.0871234j 0.0686678+0.0410422j -0.0137115+0.0425993j 0.0727119-0.0288637j 0.0181072+0.0519944j -0.0298704-0.00447654j 0.0449306-0.0479914j 0.00729626+0.0480421j -0.0226098+0.00259261j 0.0863902+0.0114287j 0.0195684+0.0566778j 0.024905-0.00461349j -0.0487927-0.086234j -0.0151233-0.0731325j -0.00451325+0.0136104j -0.0129344-0.0314228j 0.00808749-0.0238707j -0.0222802-0.0231978j 0.0292111+0.00454193j -0.0116722+0.0043629j -0.0105696-0.0428162j 0.0259478+0.0425099j -0.00982719-0.0349552j -0.00511145-0.0415134j -0.0355423+0.020975j 0.0137436+0.0144751j 0.000125935+0.0310416j 0.0276339-0.025996j -0.0390138-0.0168903j 0.0309106+0.0124757j 0.0541501+0.00594499j -0.0244241+0.0599343j 0.00668367+0.0344742j 0.00129106-0.0300699j 0.0130692-0.00625557j 0.0113737+0.00638716j 0.00445493-0.0243378j -0.00697295+0.0468818j 0.000564681-0.0176735j -0.0222271+0.00598901j -0.00687127+0.00864775j -0.0124527+0.0224269j -0.0174546+0.000619933j 0.0435226+0.000312841j 0.0285119-0.0241075j 0.0584074-0.0290122j 0.00744945-0.0206384j 0.0275156+0.0253569j -0.0395486+0.00432407j -0.0462764+0.0083884j -1.5059e-05-0.0416766j 0.00599214+0.00553387j 0.0225398-0.0155483j 0.0112823-0.00663818j 0.039727-0.0275353j 0.0144787-0.0034968j 
-0.114655-0.166925j 0.122705+0.0698687j -0.0264512-0.163417j 0.140879+0.0603362j 0.0525794+0.0685251j 0.0231346+0.0148786j 0.0602665+0.0499564j 0.0078357-0.0320896j 0.0370361+0.0697807j -0.20489-0.153499j -0.133116+0.0283712j 0.172288+0.202276j 0.207827+0.11974j -0.0107457+0.0519279j 0.117659+0.0826124j 0.00529939-0.0651947j -0.0355421+0.00283073j 0.0187533-0.0190079j -0.0296552-0.0458956j -0.00543367+0.0636287j 0.0383141-0.00991464j -0.0143703-0.0704528j -0.000831806-0.0175986j 0.0380881+0.0414398j -0.0102087-0.0270003j 0.039884-0.0176777j 0.0191851-0.055007j -0.00215499+0.0232287j 0.0194238-0.013415j 0.00509637-0.0150168j 0.0140386-0.0264325j -0.00625946-0.0282096j -0.0130893+0.0352343j -0.0022504-0.0264699j -0.00922333-0.0371643j -0.000778578+0.0279757j 0.00289899-0.0450667j 0.00715181-0.00180182j 0.0245439-0.0286675j -0.00607366-0.0117359j -0.034352-0.0330579j 0.00485605+0.0352861j 0.0286125-0.00755822j -0.00300795+0.00745978j 0.0198806+0.0594683j -0.00439958+0.0413643j -0.0152656-0.0253827j 0.00672062-0.0183074j 0.00433679+0.0124659j 0.00393612+0.00459376j 0.032725+0.0163107j -0.0198577+0.0212047j 0.0152194+0.0366261j -0.029551-0.0611331j -0.0212473+0.0294591j 0.00920134+0.0253573j 0.036706-0.0127502j 0.0297526-0.0111511j -0.045051-0.0750291j 0.0155553-0.0138936j 0.0144168+0.0322259j 0.00795413-0.0112287j 0.0214375+0.0497769j -0.0129702-0.0486191j -0.00147271-0.00773752j 0.0143751-0.0373484j -0.0145263-0.0366535j 0.00628094-0.0614711j 0.0100131-0.0104264j 
0.138489+0.0660589j 0.101002+0.164031j 0.144769+0.0658381j 0.0302593+0.152538j -0.0308019-0.0345022j -0.064836-0.0756118j 0.0479854+0.0782142j 0.0326765-0.000970516j -0.157408-0.0856964j 0.0474581-0.0602213j -0.237084-0.235815j -0.158096+0.00341693j -0.0076166+0.108726j -0.1502-0.0731319j -0.00563247+0.0658559j 0.107083+0.100916j -0.0442456-0.0600313j 0.0418404+0.064253j 0.0402817+0.0319997j -0.0253131+0.00679745j 0.0448871+0.0555893j 0.0572961-0.0022706j 0.0281919+0.0694243j -0.00183219+0.0549059j -0.0469031-0.0412274j 0.00938236+0.0140386j 0.0268338-0.0102728j 0.0068862-0.0074293j 0.0584383+0.0349776j 0.0105706-0.026194j -0.0104189-0.0264002j 0.0237401+0.0205502j 0.0125639+0.0287889j 0.0237804+0.0106991j 0.00387743+0.00622626j 0.0283365-0.0135425j -0.000387303-0.0075088j 0.0261017+0.0249932j -0.0188666+0.0223089j 0.0166395+0.0155837j -0.0117474+0.00109573j 0.00278982+0.0101714j -0.0635839-0.0242201j 0.0245761+0.0402343j 0.02539+0.014426j 0.00850284+0.0150203j -0.00649315+0.0142074j 0.0158655+0.00445286j 0.0398931+0.0350141j 0.0237136+0.00524477j -0.014675-0.0369747j 0.0346226-0.00628614j 0.0219537+0.00230791j -0.0413103-0.00756849j 0.0159116+0.0453071j -0.035322-0.00294245j -0.00887262+0.0129113j -0.00321687-0.0560788j -0.0405311+0.0124837j -0.010581-0.0409255j -0.00353617-0.0121824j -0.00622374-0.0368182j 0.0299737+0.0250921j 0.0170914+0.0346101j -0.00944755+0.0400147j -0.0181079-0.0306574j -0.00132773+0.0353172j -0.00665473+0.0170249j 0.0144345-0.0583436j 
