-0.0160212-0.0514144j 0.00823468-0.0164316j -0.0175616-0.0135008j 0.00920329-0.0384428j 0.0121435+0.0359899j -0.00710669+0.00215639j 0.0388141-0.038233j -0.00893231-0.0253611j -0.0117462+0.00715091j -0.00631321+0.0434004j -0.0443189-0.00701745j 0.025279-0.0445477j -0.00161065-0.0370259j 0.0256227-0.00296883j -0.0296052+0.0344645j 0.00809202+0.0158706j 0.00868371-0.021696j 0.0125875+0.014319j 0.028206-0.0192965j -0.0385771+0.00608605j 0.033463-0.0288052j -0.00169482+0.0211839j -0.00107006+0.0386434j -0.0168524-0.00802893j 0.0208106-0.00848504j -0.000542243+0.0027744j -0.0414608+0.0175266j 0.0192041-0.00804331j -0.0298276+0.0288276j 0.00129487+0.00876966j 0.00727681+0.00626303j -0.0232996+0.0109487j -0.0182196+0.0100122j 0.0295519-0.0285563j 0.027705-0.0154811j -0.0202891-0.0143657j 0.0185608-0.0258044j 0.00650698-0.0201945j -0.00162552-0.00239305j -0.00420586+0.0112426j -0.0100594+0.00831339j -0.00439687-0.0074341j 0.00736557+0.0252778j -0.00401307-0.00076623j 0.024962-0.0129647j 0.0249794-0.00519079j -0.0127545+0.0201129j 0.0111827+0.0175985j -0.0090536+0.0111801j -0.011266+0.0106053j 0.0119566+0.00513826j 0.0138582-0.0185784j 0.0154094-0.0136095j -0.0224271-0.016784j 0.0197428-0.00517793j -0.00607435+0.00960378j 0.0109695-0.0316386j 0.00590875-0.0366383j -0.037698+0.0362296j -0.0331653+0.015926j 0.00193452+0.0178158j -0.0156373-0.000434996j 0.00586226+0.00887219j -0.0147451+0.0144846j 0.00508148-0.0421031j -0.0417142+0.0632408j 0.0126639+0.00903133j -0.00722624-0.0251207j 0.0177829-0.0623784j -0.0248-0.0747622j 0.0197388-0.0398472j -0.0698506+0.089348j 0.0860603-0.0812969j -0.0379826+0.0464058j 0.0640084+0.00488988j -0.0159678+0.0773129j 0.055395+0.0104348j -0.107093+0.113983j 0.1471-0.170725j 0.127961+0.0357915j 0.00960093+0.075631j 0.208435-0.15744j 0.0314942-0.0838528j -0.0880173+0.0430543j -0.0219771+0.000115872j 0.046778-0.0624204j 0.0328093-0.0656321j 0.0242407-0.020121j -0.0149541+0.171281j -0.149879+0.0613117j 0.0867468-0.144466j 0.0965912-0.0584918j 
0.0452181+0.036653j -0.0335709+0.0119598j -0.000832493+0.00407767j -0.049866-0.0112023j -0.00571046+0.0265113j 0.0378356+0.0325348j 0.00805405-0.0689914j -0.0496133-0.0214135j -0.0776479+0.0339706j 0.0391872-0.0111565j 0.0313692+0.00400515j -0.0568147+0.0557038j 0.0517013+0.0395518j -0.0942674-0.0508114j 0.0432804+0.033503j -0.060974-0.00780456j 0.0056268-0.0234894j 0.064135+0.0838734j 0.0582571-0.0115065j -0.0283958+0.000907573j -0.087671-0.0734833j 0.0416995-0.0240657j 0.0671334+0.0401248j 0.119672-0.0904619j 0.0900099+0.141247j 0.0784559-0.0785116j -0.0745122-0.116526j -0.055784+0.10828j -0.0300439+0.00529685j -0.0721238+0.0545724j 0.14211-0.0520707j -0.0429848-0.0996032j -0.0526616+0.068974j 0.00132981+0.0132267j 0.0513956+0.0625084j -0.0686568+0.00266625j 0.0188341+0.0835948j 0.0362789-0.0187115j -0.0023172-0.00144516j -0.0481547-0.0253979j -0.0108501-0.0493422j -0.0430185+0.100945j 0.0129823-0.0304505j -0.0505436-0.0615355j -0.0169209-0.0641733j 0.015054-0.0512931j 0.0968149+0.0814976j -0.0547298+0.0287207j 0.0550041+0.0980367j -0.0729429-0.0193034j 0.081084-0.0261844j 0.0279702+0.0570629j 0.0715938-0.00216957j 0.0718156-0.0476861j 0.0372745+0.0244563j 0.0730834+0.00229782j 0.0574392-0.0356778j -0.0595114+0.055544j 0.0120272+0.0220909j 0.0039524+0.0102046j 0.0458733-0.0205923j -0.0172463+0.0293754j 0.0256137-0.0459755j -0.0280321-0.0290529j 0.0304717-0.0287304j 0.0526499-0.000306013j 0.028725-0.0159733j 0.013665-0.0347367j 0.0126621-0.00510966j 0.017901+0.0378977j -0.048087-0.0160369j 0.0439853-0.00536727j -0.0410061+0.0233677j 0.0249836+0.000247842j -0.0325535-0.034795j 0.0188857-0.0287585j 0.0362187+0.0123377j 0.0280302-0.0013231j -0.0038107-0.0135911j -0.0281451+0.0196339j 0.0145251-0.0365642j 0.00947907+0.0212539j 0.0212286-0.00613772j 0.00693201-0.00316818j 0.00923987+0.00660801j -0.0221188+0.0327899j 0.0246252-0.00360389j 0.0077881-0.00465213j -0.00240508-0.0287903j 0.0255919+0.0117107j 0.00482362-0.00544j -0.0128327+0.000460024j 
-0.00760681+0.0233483j -0.0206997-0.011523j -0.0374072-0.0145938j 0.021371+0.0260962j -0.015709+0.0288157j 0.0324706-0.0494738j -0.0348986-0.0697143j -0.0288813+0.0605135j 0.0283892+0.0549038j -0.0386089-0.0166026j 0.0360513+0.0441928j 0.0309151+0.0393806j -0.0456735+0.0448851j -0.0266404-0.0336473j 0.0280108+0.0145541j 0.0167938+0.0146516j 0.0518552-0.0269718j -0.0171889-0.0115019j 0.00807133-0.0131348j 0.0425685-0.00132797j 0.100894+0.0264717j -0.0164013-0.0291197j -0.063295-0.132517j 0.0820036-0.170448j -0.0768628+0.0174905j -0.00698183-0.0882114j 0.000571384+0.0364979j -0.0209505+0.0232322j 0.00747757+0.0545849j 0.0431513+0.0887692j -0.037807-0.160022j 0.0140225+0.0538288j 0.128671+0.0792075j -0.115339-0.0558062j -0.0916028+0.00025506j 0.0799837+0.0485511j -0.00444491+0.0416131j 0.059188-0.036075j -0.0572211-0.0668798j -0.0517473-0.0467992j 0.0303935+0.012813j 0.0167277+0.0495818j -0.0652263+0.0300874j 0.00969802-0.0198181j -0.0124281+0.0354636j -0.00433074-0.0342372j 0.047411-0.0403917j 0.0405162-0.0317229j -0.0391348+0.0600874j -0.037727+0.0856922j 0.0158988-0.0136193j -0.0229486-0.0439666j 0.0566003+0.0182769j 0.093524-0.107485j -0.0166733+0.0154507j 0.0347287-0.0418674j -0.0158046-0.0215248j -0.0532299+0.00419062j -0.000130961+0.027281j -0.00258716-0.00534527j 0.00947024-0.0502498j -0.00705449+0.0742375j -0.00205019-0.0384172j 0.000734341+0.0379672j 0.102505-0.0874892j -0.0181709-0.00228197j 0.0895018-0.0552047j -0.0219221+0.00229429j -0.00274557+0.0458073j -0.00309298-0.0132645j 0.0222837+0.00209105j -0.0176743-0.0131477j -0.0243035+0.00669428j -0.0279995-0.00566393j -0.00435515+0.0281443j -0.020784+0.00669454j 0.0312484+0.0038209j 0.0355573+0.00564642j -0.0481165-0.0413728j -0.0281504-0.0151167j -0.0188285-0.028855j 0.031953-0.0190048j -0.0366967-0.0231882j 0.0347768-0.0335796j 0.0387225-0.0260214j 0.00295468+0.00842129j 0.0278175-0.036311j -0.0150758+0.00775173j -0.00945667-0.00682207j -0.0216778-0.0112544j -0.0066792-0.0128691j -0.00811993-0.011389j 
0.0225264+0.000870443j -0.0117067+0.0233077j 0.045758-0.0310362j 0.0562659+0.0440483j -0.0255244+0.0281712j 0.0272496-0.0176429j -0.0531167-0.0060083j 0.032486+0.00856225j -0.00551545+0.011498j 0.00565727-0.0451808j 0.00975421-0.0548179j 0.0453705-0.0414818j -0.00182208+0.0510354j -0.0166119+0.0328471j 0.0499253-0.0138545j -0.0487731+0.01518j 0.0417914+0.0378304j -0.0229019-0.00670708j -0.0152892+0.050593j 0.116012+0.00595563j 0.00428311+0.0919362j 0.0205597-0.0573032j -0.0925489+0.0196491j -0.0559134-0.0170421j 0.0720324-0.0149769j 0.000752931+0.088436j 0.0126284+0.0449937j 0.00114756-0.0398106j 0.0531952-0.12956j -0.016918+0.0198243j 0.0297064+0.136666j 0.0143619-0.0567354j -0.0158275+0.0488574j 0.00176416-0.00510435j 0.0303986-0.0160087j -0.0948279-0.102112j -0.00279293-0.0422415j -0.060636+0.0906664j -0.114637-0.0267708j -0.0321837+0.0947662j -0.187545+0.0101029j -0.00216416+0.0443345j 0.0354251-0.0629676j -0.00658886-0.0197411j 0.0563637-0.0464326j -0.0496474+0.0148698j -0.025291+0.0421292j -0.0399059-0.0380062j -0.00096649-0.063633j -0.0296907-0.0204045j -0.047513-0.0562432j -0.00378104+0.0302489j -0.0409517+0.0179502j 0.0203449-0.0532664j 0.0816849+0.0410062j -0.0159787+0.00337393j -0.00123659-0.068073j -0.0370337-0.00732584j 0.0285315-0.0036719j 0.0236827-0.0352448j 0.017908-0.0137209j -0.0471634+0.0216j 0.0471124-0.0269119j 0.00126548-0.0092984j -0.0171517+0.00839368j -0.0136789-0.0251462j -0.00585411-0.0353136j 0.0281021+0.0137458j 0.0357136+0.0274179j -0.00666295+0.00135227j 0.00488406-0.031804j 0.0594+0.00140094j 0.0298668+0.0108707j -0.0260259+0.0017562j -0.0199509-0.0232835j -0.00337412+0.0145668j 0.0231273+0.0157514j -0.0355712-0.0085436j 0.0287768+0.011786j -0.0154218+0.0128097j 0.000198241-0.0165312j -0.0281671+0.0114822j 0.0290643+0.0265012j 0.0148445-0.0125534j -0.012302-0.0258067j -0.0156272+0.0187139j 0.0393122+0.00962731j 0.0111197+0.00705191j 0.0106997+0.00736769j 0.00608995+0.00724345j 0.0231448+0.0117788j -0.00516727+0.00128304j 
0.0471652+0.0306838j -0.0211149+0.0382222j 0.0121845-0.0321395j 0.00419588+0.02747j 0.00589444-0.004148j -0.00830057-0.0374115j -0.0200618+0.0704781j 0.0797346-0.0218992j -0.0232583-0.00242464j -0.0094649-0.0791997j 0.0229851+0.0561577j -0.0443229-0.0526494j 0.0500956+0.0608046j -0.0353244+0.0642695j 0.0721137-0.0629245j -0.0248016-0.00288141j 0.0469775+0.0561784j -0.00926165+0.00233523j 0.0203588+0.026801j -0.0465053-0.0133974j -0.00645568+0.128618j -0.0613358-0.116504j -0.129835-0.0343162j 0.0997102+0.0456039j 0.050384-0.0919181j -0.082858+0.0626811j 0.126821+0.0773083j 0.0244539+0.027077j -0.0426001-0.142587j 0.00379145+0.00160171j 0.145885+0.0486792j 0.026529-0.0286967j -0.00931823+0.0585783j -0.0169591-0.000336814j 0.0584147-0.103507j -0.105106+0.037624j -0.0494322+0.0598656j 0.0909014+0.0614291j -0.0114253+0.110612j -0.0069888+0.080214j -0.0274041+0.0925218j 0.0273736+0.00320501j 0.0178903-0.0662117j -0.0284977-0.0479643j 0.0119337-0.0977534j 0.0109517-0.0023131j 0.0590941+0.0704071j -0.00760257-0.0293685j 0.0522252+0.0388581j -0.0559854-0.0328682j 0.0823688-0.0574724j 0.0741039+0.0365061j 0.0757907+0.043237j 0.0425838-0.0125676j 0.0274147-0.00767817j 0.00455358+0.00917204j 0.00199509-0.0155955j 0.0194685+0.0186533j -0.00582432+0.0232442j 0.0265007+0.0124378j 0.00998296-0.020135j 0.0414349-0.00704275j 0.00120037-0.0128305j -0.060663-0.00809761j 0.00437923+0.010949j 0.00886281+0.0579139j 0.0681802-0.0373j -0.0179123-0.0344978j -0.0715801+0.00427561j -0.000815996-0.0232138j 0.0174414-0.0423088j 0.0178968-0.0423993j -0.00101277-0.0312952j 0.00633067-0.00302906j 0.0309768-0.013117j -0.014341+0.00360885j -0.00504222-0.00512608j 0.0191844+0.00160333j -0.00284091-0.0687679j 0.0298457+0.0193436j -0.0149891-0.00109747j 0.033303+0.00943938j -0.0358666-0.00439429j -0.0206892+0.00263632j 0.0272197-0.000350572j 0.00311036+0.0132233j 0.0194741-0.032449j -0.0315239-0.0139477j 0.00630716-0.00254288j -0.0111468+0.00148209j 0.000612983-0.0263283j 0.0037124-0.00438059j 
-0.0266093+0.0433996j -0.0477118-0.0128943j -0.0198038+0.0237988j -0.0113884+0.00591659j -0.010554+0.0359104j 0.0737118+0.0532858j 0.0514989-0.0363213j -0.0145687-0.0303391j 0.0565715-0.00365097j -0.0310914-0.0415112j 0.0272125+0.0824026j -0.0449791+0.0048211j -0.0993693+0.0897904j -0.0677884-0.0758224j -0.0431025-0.0610333j 0.0697998+0.0375194j 0.0151421-0.0392067j -0.0174647-0.0432616j 0.0790256-0.00495866j -0.0160079+0.120577j 0.065897+0.0170166j 0.0189293+0.036254j 0.00454472+0.0607768j -0.000676929-0.0556863j 0.0109064-0.00467683j 0.00872164+0.0838795j -0.0215707-0.080026j 0.176407-0.00962695j -0.147384-0.00533929j 0.00982215-0.0692984j 0.00916854+0.0241084j 0.0499674-0.0451996j 0.0748973+0.0253309j -0.0302004+0.00329389j -0.0172208-0.117126j -0.00126512-0.019403j 0.0897335+0.00601995j 0.134815-0.0388883j 0.0720987+0.0945948j -0.0462371-0.0289489j -0.000793026+0.0801232j 0.00805087+0.00567299j -0.0864842-0.0918295j -0.00112562+0.000135463j -0.0396511-0.0481955j -0.0489105+0.0473217j -0.0600153-0.00963111j 0.0270337+0.00515904j 0.00706661-0.00708781j -0.0248741-0.00992728j -0.0267272-0.086646j 0.0720327-0.0276777j -0.0104219-0.00471082j -0.037233-0.0368268j 0.00430147+0.0815726j -0.00318622+0.0908863j -0.0109884-0.0460694j 0.00857857-0.0389912j 0.0738234-0.015315j 0.000708034+0.0223437j -0.0013673-0.0430424j -0.00928391+0.0550858j 0.00583551-0.0323152j 0.0152034+0.0742856j -0.0235256-0.00358849j 0.0426508-0.038158j -0.064377-0.0393343j -0.0186518+0.0373647j 0.040192+0.00795623j 0.0170596+0.00885676j -0.00439489-0.0423522j -0.0271491-0.00111749j -0.0170507-0.0136853j 0.0130466-0.00258636j 0.00610626-0.0261495j -0.00593498-0.0333353j -0.00483911+0.0384125j 0.000156087+0.013014j -0.0109892-0.0298994j 0.0297277+0.000313676j 0.0252926-0.017924j 0.00740525+0.010656j 0.00945958-0.015416j 0.00932767-0.0129039j -0.00440787-0.019598j 0.00357829+0.019756j -0.0107357+0.0149523j 0.0258207+0.0121711j -0.0157304-0.014149j 0.00100306+0.0191598j -0.00620324-0.00868571j 0.00544255+0.0033796j 
-0.0054776-0.0523159j 0.0569054+0.0159476j -0.0906371+0.0674842j -0.0833182-0.0767841j -0.00494112+0.0338329j 0.0194309+0.0583185j 0.0421679+0.0122704j 0.0671256-0.0247336j -0.0291242-0.020292j 0.0293971-0.0609029j -0.129759-0.0466421j 0.0361047-0.0523878j 0.0108307-0.0822563j 0.0157566+0.025615j -0.0170506+0.0249598j 0.0338607-0.0483442j -0.0525332-0.123809j 0.158993-0.0571433j 0.00928604-0.0235266j -0.20477-0.0123536j -0.046323-0.0861897j -0.0721842+0.0586646j 0.0349971+0.105557j -0.025657+0.0881688j -0.0119721+0.0549314j -0.0525221+0.00593562j -0.021431+0.0430744j 0.0363657+0.105832j 0.0929131-0.0924051j 0.0385729-0.0752832j -0.034407+0.134348j -0.0705934+0.039399j -0.0433677-0.0330972j 0.0215298-0.0596331j 0.0551084+0.107467j -0.011969-0.00864718j -0.026505+0.038939j -0.0175963-0.0517365j -0.0381452-0.00147687j 0.0501944-0.0267979j -0.0685533-0.00232969j 0.00162371+0.0344922j 0.0340834-0.0187283j -0.0638124-0.0699771j -0.0252121-0.0178831j 0.0923276-0.0641698j -0.0784904+0.0239235j 0.031746+0.0409385j 0.0164098+0.0473439j -0.0160242-0.0298904j 0.0207913-0.022039j -0.0725527+0.0210688j 0.0203452-0.0408378j 0.0243653+0.0828115j -0.0069327+0.0232842j -0.0167438+0.0126539j 0.0161111+0.035987j 0.0221554+0.0143814j -0.0392273-0.0211471j 0.00109539+0.0276856j -0.024417+0.0242377j -0.0147233-0.002701j -0.00148364-0.017521j 0.00871341+0.00364494j -0.0107769-0.0119425j -0.026142-0.0214502j 0.0340914-0.00453066j 0.04036-0.0345015j 0.0155579-0.0175721j 0.0142026-0.0215902j 0.0279112-0.0174724j -0.067953+0.00598731j -0.00887215-0.0203184j -0.0033922+0.0149627j 0.0382205-0.0426789j -0.0401154-0.0250989j -0.00776187+0.00545097j 0.0185283-0.0507649j 0.0263147-0.0100856j 0.027823+0.0485499j -0.0074122+0.030133j 0.0229231-0.00919324j -0.019473-0.0484668j 0.00551289+0.00391014j -0.0155721+0.0091849j 0.0121637+0.000599864j -0.0301586+0.0109245j 0.0311269+0.00929973j -0.0334751-0.0204861j -0.0157024+0.0275437j -0.0221948-0.0276093j -0.00055964+0.0349629j 
0.030089+0.0274043j -0.0593384+0.0244453j -0.00800069+0.00828555j 0.0163754-0.0213564j 0.0876182+0.0118833j -0.0106366-0.0466107j 0.0415263-0.0259095j 0.0230585-0.0399496j -0.0024102-0.0647191j 0.0485052-0.00987081j 0.131887-0.0277943j -0.0501845+0.0534583j -0.0789405+0.0747764j -0.0827303+0.0518031j 0.114464+0.0713034j 0.0586786-0.0915539j -0.0228982-0.0535074j 0.094038+0.0250551j 0.053267-0.0249091j -0.169975+0.147011j -0.0185472-0.106862j -0.0638713+0.0650424j -0.135947+0.157537j -0.0723365-0.0339954j 0.0568913+0.0520352j 0.00558088+0.00203925j 0.0584127-0.0192131j 0.0268186-0.0472558j -0.0568725+0.0413004j 0.0211633-0.0478775j -0.0574157+0.0801191j 0.0652956-0.0352661j 0.0235379-0.0715204j -0.0825399-0.00785877j 0.0306691+0.0492804j -0.0218356-0.0365874j 0.00539486+0.0267494j 0.108376-0.0679733j -0.106184-0.0142058j 0.0925923-0.0233764j 0.040773-0.0161686j -0.044305+0.0575548j 0.0435414+0.0409365j 0.00828562+0.0196483j -0.0521827-0.0227429j -0.0563682-0.114958j 0.0389633-0.0313355j -0.0228046-0.116901j -0.0158395-0.00157548j 0.0154742+0.0325894j 0.0660437-0.0140431j 0.0550156+0.0460209j 0.0672616+0.00514377j 0.00624871-0.018529j -0.0157169+0.0311207j 0.0238545-0.0824147j 0.0129192-0.0519948j -0.0188499+0.0122323j -0.0405028+0.0126363j -0.00982054-0.0291294j 0.00264696-0.0237654j -0.0176932+0.00467401j -0.00686554-0.0125779j -0.0320164-0.0558053j 0.00548628-0.02894j 0.032287-0.0177011j -0.00881152-0.0353941j -0.0571963-0.0222336j 0.00259451-0.00822383j -0.0567688-0.00459005j -0.00299377-0.0052067j -0.0131568+0.0354627j -0.0106677+0.0721291j -0.0100262-0.01582j 0.0352639+0.0136404j 0.0262817+0.00115097j -0.00608064-0.00332001j 0.00958881-0.0341802j -0.0181118-0.00148675j -0.0783181-0.0123468j -0.011519-0.0449588j 0.0521138-0.00286947j 0.0191247+0.0395497j 0.00928788+0.0184833j 0.0194238-0.0163384j -0.00858038+0.0164377j -0.0140591-0.00660229j -0.0377958-0.00306361j 0.0259501+0.0156293j -0.0353388-0.0221391j 0.0301755+0.0207767j -0.00967837-0.0196821j 
0.0403184-0.0653705j 0.0763163-0.00540479j -0.0530255-0.00886478j 0.00113974-0.0423066j -0.00821726+0.0356903j 0.0181172+0.0318796j 0.0375207+0.0386582j -0.00105057-0.0277504j -0.0205112+0.0663593j -0.15861-0.0547784j 0.0664823-0.0252848j 0.0730583-0.0555327j 0.0599541-0.197794j 0.0369733+0.0418397j -0.121894-0.00508136j -0.0463437+0.0392136j 0.0107284-0.0379741j 0.0134627-0.0170402j 0.00954966+0.00304576j -0.126188-0.046215j -0.000181959+0.0305023j -0.039674-0.0097535j -0.00145364-0.0389808j -0.0188524+0.0562724j -0.090476-0.0302627j 0.100836+0.00934659j 0.0309167+0.0738094j 0.039901+0.0811646j 0.0378135-0.09259j 0.00535911+0.0117687j -0.0434711-0.0026626j -0.00300478+0.0618472j 0.0723911+0.0867691j -0.101968-0.0593049j 0.00773088-0.0237692j 0.0648577+0.0527796j 0.15111+0.0560637j -0.0192365+0.0550037j 0.0233585-0.0500673j 0.0194246+0.0346663j -0.0968708+0.00523223j -0.0163689-0.0201887j -0.0290939+0.0120852j 0.0503098-0.0322258j -0.041421-0.00384365j 0.0812766-0.0117185j 0.0207319+0.062046j 0.094048+0.00688119j 0.00575434-0.000329518j 0.025159-0.0194956j 0.0038007+0.000113002j -0.00628923+0.0597714j -0.00480508-0.0327658j 0.0389541+0.00544984j -0.0123254+0.00598532j -0.0155406+0.030059j -0.00120022+0.0244012j 0.0233209+0.0373762j -0.0354343+0.00722838j 0.0667475+0.0449785j 0.0170756+0.030481j 0.00843071-0.0225128j 0.0247274-0.0020767j 0.0794253+0.00650862j 0.0760226+0.0363941j 0.0337104+0.0280915j 0.0143972+0.0318321j 0.0432058-0.0597004j 0.0206462-0.00333502j 0.0111873-0.0312689j -0.00927484+0.015016j 0.0117722-0.0177356j -0.0587368+0.00515309j -0.0047894-0.015671j -0.0150883-0.0117869j 0.000812723+0.0124987j -0.0324497-0.0152948j 0.0348622+0.00842857j -0.0451833-0.0169323j -0.000922163-0.0238537j 0.0142449-0.0031732j -0.0225152-0.0185402j -0.0292642-0.0125858j 0.0403102+0.0520497j 0.00870085+0.0426436j 0.0307377+0.00836944j 0.00520001-0.0227471j 0.00292782-0.0362063j -0.0284841+0.00996265j 0.0464839-0.000513322j -0.0259364-0.0210663j -0.0319534-0.0134593j 
-0.0878818+0.0220889j 0.00130788-0.093011j -0.0218867-0.0413674j 0.0436806-0.033798j 0.0812638-0.0208612j -0.0213903+0.015436j -0.0209427-0.111852j -0.0572127-0.0109059j 0.12027+0.0249404j 0.04824+0.0457215j -0.209377+0.107873j 0.0696081-0.112841j -0.114282-0.0794805j -0.0216133-0.236778j -0.0329154-0.00978639j 0.0532049-0.0739164j 0.0639236+0.0249848j 0.0383805+0.055129j -0.0336729+0.0631527j 0.0249731+0.0842753j 0.0368795-0.0203223j 0.0431965+0.0349662j 0.070708+0.0727313j -0.0665819+0.0647783j 0.0894344-0.0087313j -0.0130845+0.0363943j -0.154505-0.0124995j -0.0251984-0.034579j 0.00793716+0.0475261j 0.141142-0.0596879j -0.0347453+0.0823493j -0.173431+0.0411394j 0.0618078+0.0924758j 0.0189728+0.00480644j 0.0725442+0.0630721j 0.0134977-0.0317029j -0.00271691+0.137729j 0.0520413-0.0318264j -0.0618448+0.0109261j -0.00771674-0.0526007j -0.0385772-0.0466381j 0.0397405-0.0339551j 0.00806035-0.0292932j -0.0268782+0.0357866j 0.0117532-0.0444831j -0.0255151-0.028062j -0.138552-0.0993726j 0.037699-0.0028418j -0.0295313+0.0343679j -0.0453824+0.00891602j 0.0201843-0.015131j -0.0408586-0.0211711j -0.00958614-0.0731195j -0.0722354+0.0563663j 0.0473479+0.0477047j 0.00224285+0.0164716j -0.0263969-0.0362221j 0.0045329+0.0122049j 0.0196449-0.0151938j -0.0364215+0.0555015j -0.0291687-0.00903851j 0.00935156+0.0693635j -0.0327224-0.0159248j 0.0398424+0.0428182j -0.0229843+0.0180334j 0.0096461+0.00523785j 0.0173213-0.00665996j -0.0409627-0.0107393j -0.0294044+0.0312284j -0.0571714+0.0153485j -0.000992131+0.00478897j 0.00217787+0.0183342j -0.00274162-0.00693365j 0.0117983+0.0135489j -0.0269922-0.0376316j 0.0902381-0.0211149j 0.0375774+0.00319436j 0.0159225+0.0268944j 0.000279322+0.0248046j 0.0246819+0.00842978j 0.0162837-0.0110807j 0.00395522-0.0159897j 0.0154011-0.0342349j -0.0309789+0.019908j 0.0105973-0.0220213j -0.0179077+0.0229637j -0.0251515+0.00508307j -0.0328184+0.0167681j 0.0579439-0.006119j 0.0174868+0.00558593j -0.0192324+0.0103592j 0.0103882+0.01763j 
-0.0263485-0.0736731j 0.0424637-0.0334039j 0.0232986-0.129014j 0.0938785+0.0386326j -0.0266407-0.0618328j 0.0312607+0.0648669j 0.011106-0.0180232j -0.0525314-0.000820817j 0.00835268-0.0384065j -0.117093+0.00265769j -0.00166529-0.106152j 0.0597822-0.113603j -0.068232-0.205523j 0.142676+0.0513448j -0.128406-0.0639497j -0.0645157-0.0194305j 0.0948089+0.121221j -0.0960118+0.00762737j 0.0367081+0.152443j 0.0939333+0.0789576j 0.074933+0.118929j -0.0254204-0.0427364j 0.00583537+0.00670428j -0.0293637+0.0750566j -0.0525521-0.152198j 0.0650052-0.0180817j -0.0867472+0.0339999j 0.0118281-0.0292847j -0.015316+0.0462387j -0.0307086-0.110034j 0.0290727+0.202986j -0.0137598+0.157893j 0.0278875+0.0512044j -0.0650653+0.0181792j 0.00515703-0.0384421j 0.0685007+0.0265055j 0.138172+0.0383191j 0.0324891+0.0292629j 0.0626464+0.0385224j 0.0577919+0.0288634j -0.0176996-0.05368j -0.00484109-0.020711j -0.054772-0.0257419j 0.0134173+0.00218637j -0.0471888+0.0026492j -0.0205239-0.0409892j -0.0602104-0.00782822j -0.010088-0.0747897j -0.00314846+0.0185724j 0.00995857+0.062314j -0.0539282-0.0542986j 0.0717199+0.0312483j 0.0151706-0.0275421j -0.033464+0.00313427j 0.00214884+0.0294235j 0.00808766-0.0703152j 0.0271353-0.0125271j 0.047943-0.0290648j -0.06223+0.0344571j 0.0321602-0.0422416j -0.0251363+0.0208607j 0.0300086-0.0599899j -0.0256742+0.0226901j 0.0130394-0.0155837j 0.0170514+0.0468526j 0.0320366-0.00383738j 0.0206236+0.00353492j 0.009951-0.00786078j -0.00701016-0.00920521j 0.00976527-0.0114073j -0.0167146-0.0149377j -0.0121171+0.0153419j -0.0162943+0.00886275j 0.0173442-0.0391466j -0.0316024+0.0382122j 0.00638839-0.0718037j -0.0016705-0.00985041j -0.0202996+0.0219841j -0.000887823+0.0191788j -0.00367122+0.0404782j -0.00434997-0.0144009j 0.0175259-0.016341j 0.00175836+0.0312641j -0.0265286+0.0456858j 0.0378073-0.0377807j 0.00759761-0.0154679j -0.00482964+0.0120089j -0.0285555+0.0134253j -0.0194954+0.0133904j 0.0193617-0.00857707j -0.00236873-0.00608246j -0.00268503+0.00664005j 
