0.0246693-0.0701027j 0.106906-0.0568261j -0.00373664+0.0177114j -0.121176-0.0727603j 0.0638058+0.0250849j 0.0343636+0.0455647j 0.0161983+0.0612874j -0.048779-0.0788227j -0.00341491+0.0185773j 0.0113272-0.0163933j 0.0368329+0.0345778j -0.010955+0.0101606j 0.00866256+0.0752661j 0.0120174-0.0278087j 0.00277036+0.0298349j -0.00633257-0.0409088j 0.00719657-0.0268915j -0.010058-0.000556838j 0.0195889+0.0115494j -0.0122497+0.0426066j -0.0114698-0.0319647j -0.034028+0.0301145j 0.00944599-0.00206008j 0.0411062+0.0431229j 0.0148198-0.0101557j -0.00350574-0.0257001j 0.00552427-0.0181778j 0.0117797-0.0332545j -0.0134366+0.0125371j 0.0070101-0.0125425j 0.0111217-0.0320878j 0.014422-0.0382166j 0.019133-0.0160747j 0.00709975+0.0301499j 0.0282105-0.0142359j 0.00628963-0.0158651j 0.0413137+0.00602583j 0.0434941-0.0228683j -0.0105484-0.0109759j 0.00144014+0.0305672j -0.0123279-0.00851283j -0.0116807+0.0343125j -0.046319+0.00193151j -0.0307101+0.0283097j 0.0126393-0.035526j -0.0250808+0.00993113j 0.00256096+0.0627092j -0.00231564+0.00436823j -0.0244665+0.0452891j -0.04322+0.00736857j -0.0029433-0.0206763j -0.0338366+0.0601886j 0.0266267+0.0267247j -0.0075508-0.00120035j 0.0172206-0.0100456j 0.00581249+0.0657912j 0.00639233+0.0491627j 0.060148+0.0267414j 0.207899-0.0984564j -0.0679313-0.223801j 0.23187+0.0174182j 0.00225971+0.114996j 0.171589+0.0181458j 0.0806483-0.0779416j 0.00386966-0.229058j -0.0362026+0.0649479j 0.0266927-0.163606j 0.0787165+0.103897j -0.00938446-0.00992133j 0.16631-0.219292j 
0.0233401-0.00549723j 0.0228325+0.0419095j 0.00725763+0.0220893j -0.0493223-0.0538322j 0.0538528-0.0910691j -0.0631371+0.0081101j 0.0341047-0.021385j -0.227891+0.049431j 0.144494-0.0117057j 0.0245135+0.0921579j 0.220746+0.0607306j 0.0385961+0.28457j -0.0540507-0.174654j -0.03047+0.0723153j 0.133073+0.0646414j -0.0380287+0.0307391j -0.108328+0.140713j 0.0668727-0.0443999j 0.0295099+0.0109458j 0.0557968+0.180342j 0.0192307-0.00532245j -0.067925-0.0756178j -0.0620861+0.163632j 0.0723567+0.007913j 0.0852024+0.154325j -0.0939592+0.0590064j 0.147493+0.0316578j 0.202893-0.0476433j -0.0528419-0.0478168j 0.0967351-0.105677j -0.0345563-0.0504765j 0.0339358-0.0856418j -0.004421-0.0153928j -0.0684828-0.00527459j 0.0257097+0.01141j -0.0217502-0.0551495j 0.107162-0.0258878j -0.0266619+0.0222848j -0.0138476+0.032315j 0.0579241-0.0260378j 0.0709002+0.0117609j -0.010991+0.0329814j -0.0921793+0.0307088j -0.0211331+0.0256478j 0.0241972+0.0246182j 0.0148731-0.0404178j -0.0485667+0.051496j 0.0104122-0.0529913j -0.0203496-0.0329378j 0.027267-0.0579342j -0.0219193+0.0668033j -0.0193612+0.0199551j 0.0429759-0.0108391j 0.00985308-0.00290326j -0.0360342+0.0801796j -0.0223051-0.012509j 0.046405+0.0973892j -0.019548-0.046266j -0.000149873-0.0762227j 0.0149284+0.0582661j -0.0239207-0.029639j -0.0528409-0.0531214j 0.0535735-0.0533586j -0.00769074-0.0752358j -0.0940176-0.0364673j -0.0304962-0.0682865j 0.00576897-0.098576j 0.0414611-0.0576799j 0.0141761-0.0146095j 0.0309901-0.0490387j 
-0.0662134+0.0213245j 0.0453499-0.014866j -0.0156815+0.0380564j 0.0296874-0.00366478j 0.0310693+0.0774051j 0.0660027+0.0468788j -0.214277+0.0691772j 0.106979-0.0344572j 0.078316-0.00618022j -0.0408821+0.120052j -0.0304883+0.206496j 0.0675606+0.011715j 0.0640554+0.103815j 0.093424+0.00265053j -0.0424253-0.152369j -0.0617162-0.061677j 0.031198+0.043957j -0.0893196+0.0870542j 0.14344-0.057661j 0.0729305-0.17243j 0.01078-0.0662559j -0.162062-0.0947844j 0.0751233-0.00105619j -0.181475+0.168989j 0.0439385+0.0544551j 0.131831+0.0114731j 0.125253+0.00243374j -0.0114005-0.0672594j -0.0227487+0.0174975j -0.0237093-0.0307173j 0.0109697+0.106379j -0.048796+0.135226j -0.00374277+0.0777231j 0.0573123-0.0193617j -0.00698219-0.0525263j -0.000613598-0.0128058j -0.00191519+0.00295559j 0.0456963+0.0449465j -0.0472763+0.0558111j -0.0372822-0.0120038j 0.00598075+0.0318929j 0.0838997-0.0105183j -0.0758889-0.00771901j -0.06893-0.0232924j -0.0536023+0.0726875j 0.047819+0.0310719j 0.0673517-0.0327234j -0.0367437-0.0365158j -0.113486-0.0520043j -0.0776219+0.00151468j 0.0742905-0.0108732j 0.104786+0.0215135j -0.0195157+0.0202492j -0.0996481+0.039543j -0.00736558-0.0184981j -0.0403447+0.0104885j 0.0650234+0.0188644j -0.0349868+0.0614452j 0.00210488+0.0656201j 0.0109638+0.0146479j 0.0850781-0.0366673j -0.095047-0.0425483j 0.0195064-0.0374891j 0.0166169-0.0910506j -0.000930399-0.00103305j 0.0279012-0.0385014j -0.00901334-0.0594198j 0.0242301-0.0129855j 0.0181457-0.0838753j -0.0166749-0.0503625j 
-0.0287265+0.0252192j -0.0620378+0.0413747j 0.105104+0.0672288j -0.0575089-0.0137877j -0.0584039-0.0655206j -0.126051+0.0849185j 0.112969-0.035885j -0.0367545+0.226268j 0.0219618+0.155969j -0.000153817-0.0741843j 0.102549+0.0114598j 0.107402-0.0530966j 0.10726-0.150788j 0.0732317+0.0585395j -0.0912837+0.0433433j -0.156546+0.032015j 0.0588744+0.240985j 0.101481-0.00235472j 0.0225979-0.0937592j 0.105129-0.0119425j 0.00734444+0.0204479j 0.0635492+0.00786768j -0.00254638-0.0603042j -0.0158026-0.0578916j -0.00345871-0.0169872j 0.105729+0.0152914j 0.0121077-0.150838j -0.140703-0.0205508j 0.0398685+0.147047j 0.0313054-0.0620157j 0.0766352+0.086982j 0.0756201+0.000336217j 0.120252-0.0610613j 0.0418912-0.109908j -0.0593238+0.00864185j 0.00373112-0.0404788j 0.00996403+0.0263442j -0.0406018-0.0185346j -0.0179565-0.0334181j 0.000533766+0.0550099j 0.04269+0.0262032j -0.0400534+0.0190259j -0.0531329-0.026508j -0.03838+0.0170624j 0.00331116+0.0377981j -0.0540893+0.0707575j -0.0752038+0.0229897j 0.0416699-0.016502j 0.0125326-0.0751083j 0.0435486-0.00238568j -0.00575196-0.0414218j 0.00108271-0.0633373j -0.0294582+0.0264903j -0.06355+0.0234334j 0.0145229-0.0224642j 0.00239194-0.0516025j -0.00846823+0.052931j -7.38731e-05-0.00451294j 0.0397069+0.0127422j -0.0621008+0.0292076j 0.0193635-0.00199356j 0.0845093+0.0634585j -2.9944e-06-0.0365298j -0.008123+0.00425355j -0.0164881-0.0253554j -0.00921174-0.0504479j -0.00672282-0.0848426j 0.00955859-0.0287504j -0.00807909-0.0148434j 0.00973154+0.0327461j 
-0.00880339-0.063622j 0.0290027+0.0150222j 0.00246306+0.0401262j 0.0390913-0.0745949j 0.144191+0.038691j -0.0189178+0.0913849j -0.089997+0.193581j 0.114018-0.0522846j 0.0507377-0.0878358j -0.101566+0.0274365j 0.0588077+0.00326264j -0.0562117+0.0635266j 0.0284527+0.0212208j 0.00893772+0.0190004j 0.0682908+0.0527689j 0.0108706-0.0204928j -0.0584128+0.0887529j 0.0402428+0.0651875j 0.0428029+0.0660403j 0.166664-0.0607336j 0.0568524-0.0695537j -0.0292263-0.099997j 0.0657419+0.0764326j -0.0563142+0.130753j -0.049784-0.0600312j 0.0279223+0.110447j 0.0877056+0.0874547j 0.0662679+0.0114624j -0.0594227+0.024857j -0.000491478-0.0116293j -0.00792562+0.0898567j -0.106535+0.013142j 0.0178089+0.0135155j -0.0322692+0.0255808j -0.0043562-0.0846349j -0.0287418-0.057127j 0.0154521+0.0257399j -0.00346521-0.0141237j -0.026638+0.0324892j -0.0160884-0.0134503j -0.00834137+0.0885923j 0.0396777-0.00734511j -0.0238435+0.0120022j 0.00302048+0.0240162j -0.0469499+0.0244967j 0.00655032-0.0138913j 0.10227+0.0251554j 0.00137544-0.00781791j -0.00402097-0.0596205j -0.0446946-0.0306613j -0.0236531-0.00786406j 0.0161123+0.0532969j -0.0514408-0.0220649j 0.0382601-0.0494437j 0.0357433+0.0318953j -0.0175606+0.000574744j 0.0189549+0.0125356j 0.0150458+0.0349922j -0.0567686-0.02954j 0.0921866+0.0714606j -0.0394984-0.0789667j -0.0612915-0.0928535j -0.0572668-0.0262207j -0.0289067-0.070573j -0.00676143+0.019035j -0.0111588-0.0628123j 0.0219303-0.0536513j -0.0169336-0.0664642j 0.0276277-0.00892456j -0.013445-0.0152208j 
0.00161773-0.0488895j 0.00967253+0.098689j -0.186466+0.0414895j 0.0954594-0.120629j 0.0416054+0.0551366j 0.0209366-0.0990349j -0.106665+0.145044j -0.0539064-0.126076j 0.0667548-0.0285016j 0.0731766-0.0678787j 0.0713666-0.0120174j 0.00636771-0.0361706j 0.0201774+0.0450618j 0.0619863-0.0942639j 0.111596-0.117725j -0.032366+0.0302792j 0.0992791-0.0515621j -0.0166787+0.0713769j -0.067404+0.14136j -0.00464879+0.0282407j -0.0315135-0.00758186j -0.0875358-0.130357j -0.105372+0.0381787j -0.0194505+0.0829898j -0.021239+0.0577615j -0.0705286-0.0595289j -0.156341+0.0489579j 0.0911055+0.132271j 0.0518882-0.033789j -0.0311053+0.0639784j -0.0136692-0.0533047j -0.0808864-0.0170166j 0.0395753-0.0931002j -0.00407672-0.0460413j 0.0443871+0.0212619j 0.0217004-0.0297773j -0.0511815+0.0422537j -0.155999+0.0713253j -0.0183846+0.0169992j 0.00750954+0.015653j 0.0377171+0.0206134j -0.0324507-0.0419183j 0.0412643-0.0467618j -0.0198761-7.74335e-05j -0.0366054+0.0116777j -0.0857328+0.0658606j -0.0339366+0.0775139j 0.0307481-0.0323476j -0.0166705+0.00593314j 0.00235969-0.0105232j -0.0186948+0.0442761j -0.025144+0.0464355j -0.0130648-0.0251722j 0.0252055-0.0432113j -0.0863502-0.00517253j 0.0379582+0.00741894j 0.00264827+0.0426239j 0.00153513+0.0778478j -0.00807153-8.91992e-05j -0.00918712-0.0184961j -0.0748463-0.0753659j 0.00584481-0.0162369j -0.00578746+0.0105196j -0.0319312-0.0620368j -0.0262835-0.0434162j 0.000741182+0.030521j -0.037984-0.00444592j -0.0632418-0.032391j 0.0220985-0.0349645j 0.00873647+0.0245155j 
0.0207627+0.0166488j 0.078179-0.0249253j -0.238001+0.231862j -0.270398-0.0757854j 0.0409013-0.0860073j -0.0430528+0.0852553j 0.025395+0.216884j -0.0183662-0.0337126j 0.0465439-0.0347166j 0.015721+0.114504j 0.0836293-0.0179222j 0.0347263+0.0312872j -0.0391727+0.0551653j 0.0202922+0.0999635j 0.0374121+0.0247086j 0.096089+0.010347j 0.238514+0.0134133j 0.0653599+0.0935693j -0.0569821-0.0570084j 0.147448-0.117557j 0.0150966-0.0846603j 0.157216-0.145102j -0.000934392+0.0938665j -0.0560593+0.16782j 0.0538508+0.0106426j -0.0337903-0.00279797j -0.0654697-0.00182643j -0.043566-0.0325287j 0.0801953-0.000234746j -0.0316225-0.0139082j -0.0773669-0.0465237j 0.00682806+0.049069j -0.0477143+0.0046774j -0.00303918-0.0284568j -0.0457226-0.00335394j 0.0144324+0.0627009j -0.024694-0.031207j -0.0467094-0.0200169j 0.0124524-0.0174379j -0.035721-0.0315038j 0.0244354-0.00305833j -0.00607392+0.0113237j 0.0787764-0.00230301j 0.0538912+0.0209535j 0.0178137+0.0152235j -0.0398546-0.0588545j -0.0343531-0.0147813j -0.0103948+0.0150283j 0.007618-0.0221053j 0.060214-0.0768744j -0.00476719+0.0283421j -0.0655038-0.0766595j 0.0528407-0.00944502j 0.00184532-0.0443743j -0.0116528+0.0639267j -0.139759-0.0395274j -0.0220424+0.0321312j 0.00149182-0.0375732j 0.0491105-0.0254168j 0.1123+0.0588046j -0.058056+0.00225956j 0.0141562-0.0274374j 0.00743919-0.00775136j -0.01513+0.0081679j -0.0841588-0.0133098j -0.00851908-0.0765135j -0.0565516-0.0685587j 0.0418302-0.107754j 0.0195821-0.0491917j 0.00262735-0.0679766j 
-0.0179626+0.0565667j -0.00902461-0.00480448j -0.139466-0.161392j 0.254529-0.22718j -0.169798+0.0509765j -0.0525659+0.202404j 0.242749-0.171328j -0.0730168+0.143719j -0.0476725+0.088179j -0.00206737-0.051903j 0.0980718+0.0693904j -0.0133169+0.0367929j 0.202208-0.107606j -0.0589247-0.0237918j -0.058744+0.0822648j 0.065664+0.0811377j 0.116632+0.0412194j 0.138414-0.109823j 0.10809+0.0259266j -0.103744-0.156165j 0.0571079+0.0228571j -0.0555103-0.210153j 0.0452732+0.0844931j 0.120265+0.0183994j -0.0355317-0.0667004j -0.017523+0.10123j -0.0134723+0.0247904j 0.124814-0.019649j 0.0244385-0.00539423j 0.0230386-0.0261162j 0.00978102-0.0048794j 0.0196789+0.0418379j -0.0347258+0.137253j -0.0583428+0.0351029j 0.00925374+0.0843845j 0.01345+0.0378362j -0.0919241-0.029533j -0.0475882+0.0209858j 0.0413411+0.0150704j -0.0297092+0.0063816j 0.0494474-0.00793353j 0.00507507+0.0954876j 0.0626505-0.085173j 0.0277927+0.0512228j 0.0054803-0.0602887j -0.0408383+0.0215707j 0.0346264+0.0649488j -0.0102182-0.00317679j -0.0568722+0.0527341j -0.0369466+0.00136349j -0.00324225+0.0390823j 0.0116044+0.0334503j -0.026137-0.0202831j 0.000236201-0.0612718j -0.0256539+0.0611054j -0.0427278+0.0163427j -0.0260677+0.069306j 0.0426944+0.0327422j 0.0133752-0.0283346j 0.0853584+0.0551402j 0.010045-0.0490962j -0.0557261-0.0503956j -0.0265014-0.0443413j -0.015908-0.049555j 0.0497099-0.0330735j 0.0289413-0.045633j -0.00340506-0.0580482j -0.00549795-0.00173982j -0.00657153-0.101857j -0.0307749+0.020597j 
0.0227939+0.0756578j 0.0972594+0.130857j 0.0851002+0.224892j -0.0806666+0.0141879j 0.0427558-0.212347j 0.0498866+0.0757928j 0.0234985+0.0764354j -0.0590285+0.0486418j 0.000872106+0.0243249j -0.0968707-0.00804701j -0.00374923+0.126916j -0.00886447+0.0659785j 0.0432774-0.0301747j -0.0773912+0.158805j 0.222015+0.0859845j 0.0866803-0.0759475j 0.101922-0.17347j -0.154596-0.246182j -0.0716261-0.0685706j -0.0833235-0.109754j 0.0173746-0.0911195j 0.0297461+0.00121418j -0.0022518-0.167329j 0.0205331-0.01718j -0.0528769+0.0182931j 0.0116195-0.0449754j 0.103707-0.00369167j 0.0681392+0.00024912j -0.0427502-0.0821418j -0.0273143-0.0255834j -0.0331042+0.0160975j -0.0281033-0.0528349j 0.0209379-0.0682796j 0.0479144+0.0131589j -0.0119845-0.0117183j -0.00175482-0.0419931j 0.00220549+0.0657642j 0.0145861-0.0299471j -0.0184616-0.0137042j -0.00596313+0.0379435j 0.0262054+0.0354039j 0.0157593+0.0043412j 0.0271583-0.0146702j 0.0313439+0.0315057j 0.038579+0.00202364j 0.00839076+0.0162455j 0.0176228+0.0347837j -0.0193741-0.00183791j -0.0395613-0.0252459j -0.0319605-0.0144462j -0.0149391+0.00302546j 0.0366094-0.0356066j 0.105561-0.0473941j -0.0589783+0.0181205j 0.0347788+0.000646423j 0.0111688-0.0433899j 0.0168507+0.0183644j 0.00352132+0.02909j -0.00509471+0.00301672j -0.0411125+0.139012j 0.0617514-0.0206873j -0.0281826-0.0348623j 0.0277041+0.000848799j 0.0201744-0.00162036j -0.000490785-0.0909165j -0.0767938-0.0910374j -0.0417139-0.0786827j -0.0735869-0.101739j 0.0110841-0.00755302j 0.0334707+0.0415694j 
-0.0795318-0.0211444j 0.0739934+0.055931j -0.289795+0.144305j -0.134819-0.372101j -0.225932+0.0120626j -0.0304997+0.0515369j 0.0932184-0.0289037j -0.0230486+0.151559j -0.112852+0.0182195j 0.0948888-0.0189782j -0.0205769+0.106625j 0.0305905-0.015177j 0.17427+0.0455836j 0.183419+0.131362j -0.0886958-0.19433j -0.0266258-0.17374j -0.0703517-0.0310552j -0.030591+0.136576j 0.108469-0.074476j -0.0897283+0.0287728j -0.0160229+0.0582457j 0.0722217+0.00254147j -0.12064-0.0478613j -0.0651665-0.056487j -0.0554123-0.00691995j 0.0187386-0.0267421j 0.050603-0.0717764j -0.0232634+0.00103294j -0.0415369-0.005166j 0.0101618-0.0248467j 0.00445656+0.00181667j 0.0176323+0.0440836j -0.0532596+0.00652969j -0.0374454+0.0212572j 0.00532275+0.0526956j -0.00180709+0.0371103j -0.05286+0.0294553j -0.0430807+0.111891j 0.0344121+0.0771593j -0.046642+0.0444411j 0.0490443+0.0162117j 0.0124952-0.0258596j 0.0626306+0.010757j 0.0626762+0.00935162j 0.0109072+0.0284121j -0.042414+0.0120268j 0.00694957+0.0655589j -0.0417906-0.0239851j -0.0159983-0.0424322j 0.00761827-0.0821617j 0.0253667+0.0450829j -0.0734698+0.00790604j 0.0697958-0.0390552j 0.00913626-0.0482798j -0.0202278+0.0688095j -0.0354632-0.0149031j 0.0567867+0.0483517j -0.0200619-0.00857966j 0.0108945-0.00491226j 0.0496497+0.0461178j 0.0097383+0.0250265j 0.0550846-0.0417729j -0.0631068-0.0142958j -0.00431649-0.0240908j -0.124274-0.095674j -0.00944245-0.0261824j 0.0357759+0.0162728j -0.00282219-0.0342331j 0.0339341-0.0163483j -0.0205433-0.0417146j 
0.403832+0.110222j 0.179477-0.368265j -0.096368+0.0122996j 0.0488822+0.192672j -0.0459322+0.194162j -0.112289-0.135103j 0.055971-0.155148j 0.0267755-0.0682853j -0.194916-0.0336679j -0.0530864+0.0486942j 0.0949325-0.113995j 0.140873-0.051514j 0.0391444+0.284553j -0.0591088-0.0143234j -0.0325761+0.0604955j 0.045367-0.067355j 0.0440168+0.0327603j -0.167179+0.0306245j 0.101618-0.102333j 0.0105271-0.0593381j 0.125753+0.100503j 0.0874757+0.0344722j -0.00493758-0.0472589j 0.0258559-0.0294614j -0.028841-0.0249716j -0.060283-0.0169742j -0.0488885+0.0190393j 0.0809038+0.0498339j 0.0186996+0.0143531j -0.0198575+0.0083982j 0.00985251+0.0561335j 0.00116015-0.00294603j 0.056662+0.0424785j 0.032638+0.095232j 0.0956125+0.0222035j 0.000246231-0.0195967j 0.0165973+0.0857821j 0.00991006+0.0234065j 0.0235641-0.0434383j 0.0566604-0.0499063j -0.00550756-0.013172j 0.00804232+0.0137965j -0.0458252-0.0054562j -0.0130997-0.00863554j -0.0174866-0.0397859j 0.0230647+0.013688j -0.0125174+0.00846573j 0.0322048-0.00391309j 0.0373655+0.0293118j 0.0227033+0.033402j -0.0359636+0.0227934j -0.0203832+0.0177839j 0.00555132-0.00561696j 0.0133767+0.00293978j 0.0119367-0.0208825j 0.0148086+0.00282253j -0.0414386+0.00527916j 0.0333299+0.0203476j 0.00361851+0.00189562j -0.108504+0.00123453j -0.0586753+0.0211534j 0.000535289+0.0589671j 0.0873383-0.017487j 0.0420603+0.0464341j 0.122524+0.0722028j -0.0456098+0.0246534j -0.0307064+0.0531462j 0.0214723+0.00640539j 0.0376459+0.0919245j -0.00164097-0.066673j 
0.189858-0.346627j -0.377664-0.0228639j -0.130549+0.0443354j -0.188778-0.0667452j -0.197178-0.114994j -0.0104686+0.0687865j -0.00287548+0.139j 0.008881-0.077215j -0.0607777-0.0615728j -0.0291786-0.080442j 0.094131+0.114701j -0.00799947+0.146427j -0.295215+0.0208191j -0.07169-0.1089j 0.0248308-0.0325087j 0.0929092-0.0492963j 0.0239666+0.0622736j 0.0658721-0.0337984j 0.00901427+0.0244764j 0.048474-0.0152728j -0.142596+0.0739949j 0.103428+0.107305j -0.0582462-0.0453747j 0.0586621+0.06678j -0.0620042-0.0471261j 0.017437-0.0430384j 0.0137705-0.0116578j 0.0412997+0.0144281j 0.0261047-0.00384543j 0.0463063-0.0370894j 0.0557605+0.0202636j 0.0569724+0.00738207j 0.0252553+0.0565729j 0.000580346+0.0355898j 0.0319968+0.0406371j -0.000654936+0.0175245j -0.0151712-0.0122541j 0.00645189+0.0223256j 0.042927+0.0119904j -0.0143701-0.00241512j 0.0351864-0.0318252j -0.00591195+0.039997j -0.00921947+0.0107442j 0.00810497+0.000185107j 0.00122125-0.0391557j -0.00697194+0.0454495j 0.00921247+0.0161474j 0.00804133-0.0246576j 0.0175914+0.0260444j -0.0692926+0.0419367j 0.0475248+0.0400324j -0.061211+0.0983858j -0.00900156-0.0559082j -0.011081-0.035474j 0.0160034+0.0511017j -0.00815549+0.0154158j 0.0117965+0.0548382j 0.0111107-0.0298962j 0.0287534-0.00667582j 0.0275644+0.0239293j 0.0770391-0.0556559j 0.0913933-0.057508j -0.0440188+0.00033269j 0.0112005-0.0887289j 0.0633734-0.0496776j 0.056206-0.0160386j 0.0599635-0.0769087j 0.0147623-0.00433745j -0.00483106+0.0435785j 0.0285672+0.0577153j 
-0.0392383+0.0134725j 0.154852+0.239717j 0.00867416+0.0986714j 0.120621-0.132326j 0.0377917+0.104041j -0.0953309-0.0234942j -0.0926751+0.21154j 0.0235564+0.1159j 0.114458-0.0669293j 0.0784889-0.196969j 0.317036+0.0910643j 0.0039104-0.0986378j 0.064889+0.127015j 0.000914344-0.00899421j 0.0106458+0.0352469j -0.0128384-0.00210627j -0.0104116-0.035455j -0.0151312-0.0191256j 0.0286184-0.0315424j 0.00508193+0.0686094j -0.0294664-0.111454j -0.0760819+0.00859264j 0.0458652+0.0153101j 0.0720293+0.0508273j 0.0400219+0.0110516j 0.0117522-0.00880763j 0.00731493-0.0123783j -0.0501805-0.0371364j 0.00913206+0.0196449j 0.013668-0.00743811j -0.0392986-0.0541988j -0.00311647-0.0297995j 0.00856746+0.00628349j 0.0136294+0.0235327j 0.0289885-0.0244357j 0.00690796-0.000330146j 0.015188+0.0104317j -0.00152136-0.0123427j -0.00357838+0.0109411j 0.00596863+0.0455024j -0.00629359+0.00206908j -0.00252867+0.0395157j 0.00024851-0.0081219j -0.00195397+0.0370903j 0.00807833-0.021342j -0.0191869+0.0123018j 0.00640417+0.0578562j 0.000300184-0.00361853j -0.0220536+0.0153092j -0.033509+0.00852902j -0.00682592-0.0283993j -0.0222233-0.0143889j 0.00663188+0.0420048j 0.000827966+0.0214379j -0.00560148-0.001733j -0.00214774+0.00471613j -0.0161886+0.0306595j -0.0119609+0.0140181j 0.0472915-0.0800923j 0.00379269+0.0175945j 0.0157399+0.0163372j -0.000949851+0.0458328j 0.00625906+0.00706168j -0.0804215+0.0634524j 0.0329604-0.0276851j 0.0107993+0.00556091j -0.0235412-0.0165539j -0.129395+0.0308521j 0.00803979+0.0389899j 0.115235+0.0708376j 
-0.16631-0.219292j -0.00938446+0.00992133j 0.0787165-0.103897j -0.0266927-0.163606j 0.0362026+0.0649479j 0.00386966+0.229058j 0.0806483+0.0779416j 0.171589-0.0181458j 0.00225971-0.114996j -0.23187+0.0174182j 0.0679313-0.223801j -0.207899-0.0984564j 0.060148-0.0267414j -0.00639233+0.0491627j 0.00581249-0.0657912j -0.0172206-0.0100456j -0.0075508+0.00120035j -0.0266267+0.0267247j 0.0338366+0.0601886j 0.0029433-0.0206763j 0.04322+0.00736857j 0.0244665+0.0452891j -0.00231564-0.00436823j -0.00256096+0.0627092j -0.0250808-0.00993113j -0.0126393-0.035526j 0.0307101+0.0283097j -0.046319-0.00193151j -0.0116807-0.0343125j 0.0123279-0.00851283j -0.00144014+0.0305672j 0.0105484-0.0109759j -0.0434941-0.0228683j -0.0413137+0.00602583j 0.0217855+0.022858j -0.00632826-0.0158938j -0.00709975+0.0301499j -0.019133-0.0160747j -0.014422-0.0382166j -0.0111217-0.0320878j -0.0070101-0.0125425j -0.0134366-0.0125371j 0.0117797+0.0332545j -0.00552427-0.0181778j 0.00350574-0.0257001j 0.0148198+0.0101557j -0.0411062+0.0431229j 0.00944599+0.00206008j 0.034028+0.0301145j 0.0114698-0.0319647j 0.0122497+0.0426066j -0.0195889+0.0115494j 0.010058-0.000556838j 0.00719657+0.0268915j 0.00633257-0.0409088j 0.00277036-0.0298349j -0.0120174-0.0278087j 0.00866256-0.0752661j 0.010955+0.0101606j -0.0368329+0.0345778j -0.0113272-0.0163933j -0.00341491-0.0185773j -0.048779+0.0788227j 0.0161983-0.0612874j 0.0343636-0.0455647j -0.0638058+0.0250849j 0.121176-0.0727603j -0.00373664-0.0177114j 0.106906+0.0568261j -0.0246693-0.0701027j 
