0.183299-0j 0.0602463+0.014232j 0.0340924+0.0424259j -0.0640695-0.128103j -0.0305852+0.0276176j -0.00593816-0.0337926j -0.0301323-0.109442j -0.00234537+0.0458334j 0.00162428-0.0401085j 0.00845764-0.0450032j 0.0135316+0.0240209j 0.021426-0.0218396j 0.027564+0.0425172j -0.00502873-0.0157074j 0.0200762-0.0311497j 0.02216-0.00315982j -0.0268699+0.00637809j 0.0308402+0.0214596j -0.0170208+0.00264658j 0.0290545-0.0232845j -0.00128877+0.034895j -0.0117538+0.019544j -0.00661289+0.00865821j 0.0100252+0.0269696j -0.0136045-0.0189618j -0.0108478+0.00956253j -0.0364035+0.0168465j 0.00290849+0.0201143j -0.00824144+0.0241369j 0.0266599-0.0136948j -0.0201779-0.00241851j 0.00188891+0.0118388j -0.00515162+0.032179j 0.00853609+0.0250971j -0.00937389-0.0103513j -0.00289112+0.0377777j 0.0303828-0.00246224j 0.0104206-0.000570026j 0.0051664+0.0242477j -0.0044793+0.0307582j 0.00503028-0.0198319j -0.0268789-0.00544398j -0.0261232+0.0536311j -0.0130852+0.0127084j -0.00935978+0.00136133j -0.0288286+0.0079834j -0.00630403-0.0120619j -0.00225963+0.0233062j -0.0147297+0.0394517j 0.0282678+0.0115628j 0.0281652-0.0154907j -0.0167704-0.0299565j 0.0144909-0.0338179j 8.88107e-05+0.000747628j 0.0226151+0.00276008j -0.0267622-0.00314195j 0.0370137-0.0427593j -0.0230275+0.0178833j -0.0595487-0.0195591j 0.0192897+0.0192108j 0.0402117-0.0617268j -0.0566114+0.145618j 0.10776+0.216827j 0.36927+0.0393585j -0.0224979+0.199103j -0.0454694+0.222074j 0.0177004+0.0191965j 0.0152489-0.010655j -0.220894-0.0901185j 
8.88107e-05-0.000747628j -0.00789538-0.00849937j -0.0132039+0.0215771j 0.0995475+0.0491729j -0.00145705+0.0296406j -0.0120218+0.091999j 0.00766206+0.109399j -0.0487859-0.150743j -0.04381+0.0477387j -0.0710801-0.0415795j 0.0108929-0.120648j 0.0853541-0.013519j 0.0190757+0.0358137j -0.106266+0.0824735j 0.122504+0.140931j -0.0820854-0.259674j 0.0719468-0.0617551j 0.059003+0.22937j -0.109023-0.087452j -0.0287085+0.111653j -0.21361+0.0967883j 0.0547047+0.0232136j -0.0198555-0.0185353j 0.0062016-0.0523338j -0.0472057+0.00918344j 0.0385583+0.0398226j 0.00833774+0.0381851j 0.0492742+0.125887j 0.188779+0.111431j 0.00696223+0.156293j -0.0369515-0.103609j -0.0179921-0.0156796j -0.0788624-0.0333421j -0.072547+0.0148758j 0.0933216+0.0104538j -0.0389376+0.0706989j -0.0351113+0.00715396j -0.0840952-0.0397888j 0.00525714+0.0369376j -0.0101989+0.010021j -0.00769596-0.00320214j -0.0263534+0.00690493j -0.00534331-0.0105426j -0.0565705-0.0275211j 0.0640258+0.0366706j -0.0458314+0.00170084j -0.0264294+0.00360506j 0.0281807-0.018239j 0.0954043-0.0358478j 0.0557028+0.0390075j -0.00127277-0.0394222j -0.0365193+0.00338879j 0.0297001+0.0402538j 0.0201864-1.38778e-16j 0.033061-0.0222026j 0.0346893-0.0226399j -0.0129137-0.0887225j -0.0503573-0.0157709j -0.0325326-0.00349048j -0.0302422-0.0669233j -0.045281+0.00456548j 0.0153953+0.0550008j 0.0109248-0.0160164j 0.0688381-0.0102343j 0.00753219-0.00152634j 0.0307016-0.0709607j 0.0280148-0.0410017j 0.007955+0.00694703j -0.02216+0.00315982j 
0.0226151-0.00276008j -0.0117196-0.0167804j 0.0324854-0.0881322j -0.0212153-0.00478212j 0.133311+0.0415344j -0.00533307-0.160332j 0.0330393-0.0257776j 0.158487+0.0670121j -0.0625372-0.163204j -0.0725301-0.0671049j -0.0392472-0.0585065j 0.0132562-0.00850309j 0.0322684+0.0649039j 0.0820347-0.019575j 0.077089+0.117874j -0.122504-0.140931j 0.0925172+0.11179j -0.098355-0.00994035j 0.049666+0.0890502j 0.00471579+0.0170204j -0.0281163+0.00724622j 0.166815+0.126583j -0.0686544+0.112768j 0.0103463-0.10246j -0.0586244+0.00447409j -0.133064-0.13082j 0.085293-0.00322871j 0.0368921+0.103201j 0.0707282+0.0362432j -0.00317223-0.00275128j -0.109407-0.0950176j 0.11098-0.00740995j 0.0385155-0.0231291j 0.0565941-0.0612667j 0.0224746+0.0436643j -0.00971401-0.155202j 0.0160394-0.0249124j 0.0356673+0.0361681j 0.0183541+0.0582213j 0.0185711+0.0281441j -0.025942+0.00895571j 0.016068-0.0803864j -0.0209154+0.0240267j 0.0304962+0.0312591j -0.00933505-0.0370995j 0.00529564-0.0203235j 0.0340698-0.0170156j -0.0330057+0.0393509j 0.00234835-0.0548941j -0.000432352-0.0341072j -0.0408047+0.0140193j 0.0312252-0.0512895j -0.0407667+0.0115605j 0.033061+0.0222026j -0.0250625+2.56739e-16j 0.018758+0.0570021j -0.0335759+0.0217111j -0.0416817-0.008107j 0.0768327+0.0168261j 0.0432987+0.0517036j 0.00709132+0.00709852j -0.0258054-0.0380278j -0.0302793+0.0408959j 0.00662402-0.00544671j 0.0242288+0.0129317j 0.00702308-0.0320642j 0.00539471-0.0332472j -0.00975581+0.015838j 0.0200762-0.0311497j 
-0.0267622+0.00314195j -0.056264-0.0526696j -0.0812161+0.00897951j 0.0633702+0.0754708j 0.0077206+0.0588235j 0.0223143+0.0519491j -0.0115104-0.113072j 0.099667+0.0286267j -0.0205087-0.0856119j 0.0413907+0.0878057j -0.0482372-0.0490374j -0.103121-0.0248475j -0.000482355-0.0496949j -0.0131113+0.258512j 0.0820347-0.019575j 0.106266-0.0824735j 0.121545-0.128579j 0.127955-0.00691928j 0.0981703+0.122329j 0.10683-0.0173584j -0.0850561+0.044268j 0.0547839+0.052822j -0.151663-0.157504j 0.0615645-0.041816j -0.065858+0.0932073j 0.0474886-0.130732j 0.0292-0.0716956j -0.0892781+0.0186364j -0.0292048-0.0341379j -0.0660276-0.0340352j -0.0446279+0.0999055j 0.00779834-0.012632j 0.0156154-0.0463361j 0.0574546-0.00843722j -0.000311388-0.0308477j 0.0171146+0.00507938j 0.0215698+0.0275656j -0.00877256-0.0512792j 0.00239663+0.0103813j -0.0514272-0.00510608j 0.0389998-0.0658363j -0.023298+0.0498568j -0.033807+0.0705545j 0.0366934-0.0278956j -0.0246625-0.0370081j -0.0306847-0.0032713j -0.0024836+0.0221999j -0.0312759+0.082525j 0.0197036+0.0409568j 0.000967632-0.0346129j -0.0387571+0.0280013j -0.0382309-0.050347j 0.0221991-0.0283025j 0.0346893+0.0226399j 0.018758-0.0570021j 0.0498446+3.52496e-15j 0.0714+0.0396116j -0.0139154+0.0148315j 0.027146-0.0416071j -0.0384108+0.0299541j 0.00977261+0.0493363j -0.0311654+0.0716816j 0.0169409+0.0517414j 0.00144709-0.0374043j 0.0745019-0.0146364j 0.00298308+0.0156959j 0.00140021-0.0131125j 0.00450912+0.079109j -0.00502873-0.0157074j 
0.0370137+0.0427593j -0.048159+0.0270138j -0.0642338-0.091432j -0.10211+0.0387203j -0.0480993-0.0627344j 0.0449239-0.0276528j 0.0431311+0.0496629j -0.133863-0.0296402j -0.0289343+0.0169336j -0.0420596-0.0951698j -0.0327705-0.0730498j 0.0532072-0.00998792j 0.0280163-0.257522j 0.000482355+0.0496949j -0.0322684-0.0649039j 0.0190757+0.0358137j -0.1652-0.139198j 0.0818313+0.0654997j 0.161532-0.0816689j -0.059398+0.0239326j -0.0879291+0.0650014j 0.0277266-0.0243765j -0.116202+0.119819j 0.0425022-0.0112676j 0.132338+0.207179j -0.0279405-0.00188697j -0.0645388-0.101309j 0.0849582+0.0428613j 0.0196683+0.00526228j -0.111632-0.0057694j -0.00479578-0.0317986j -0.0607065+0.0562871j 0.0311576-0.0112568j -0.0187557-0.0211666j 0.0324876+0.0419499j 0.0254078-0.0552311j -0.11482-0.00615971j 0.0043478+0.0306888j -0.00958553+0.0300557j 0.00411634+0.00796349j -0.00365112-0.0163686j 0.033137-0.0219479j 0.0900721+0.000882017j 0.0126303+0.0121463j 0.111292-0.0364152j 0.0267398+0.00348309j -0.0259574+0.0316976j -0.0512698-0.000611571j 0.0187045-0.0304071j -0.0437105-0.0103865j 0.0235502+0.0398152j 0.0382249-0.00402696j 0.0259388-0.0237602j -0.0129137+0.0887225j -0.0335759-0.0217111j 0.0714-0.0396116j 0.00728811+9.99201e-16j -0.0875471+0.0364447j -0.0732758+0.0383597j -0.0191662+0.00524146j 0.0909435+0.000521848j 0.0432739-0.00623049j 0.0384713-0.0515223j -0.0096296-0.0393868j -0.0385759-0.00719792j -0.0436697-0.0204473j 0.0241571+0.0372433j 0.0107159+0.0026349j -0.027564-0.0425172j 
-0.0230275-0.0178833j 0.028101+0.0311984j 0.0846048+0.0215629j 0.0409729-0.218422j -0.0141797-0.0165797j 0.0965561+0.0753772j 0.105938-0.0991373j 0.217413+0.0323717j 0.0158168-0.0738023j -0.0200812+0.0783075j 0.0470459+0.0392892j -0.0317124-0.0671484j 0.0532072-0.00998792j 0.103121+0.0248475j -0.0132562+0.00850309j 0.0853541-0.013519j 0.042585-0.00292044j 0.0901826+0.0709147j 0.00311056+0.106937j 0.00128536+0.0225722j 0.13435+0.18334j -0.0538223-0.0485567j -0.126176+0.14085j 0.0486604+0.134009j 0.0486408+0.0839598j -0.0948272-0.0857087j -0.101329-0.0405868j 0.0725301+0.0110066j -0.0449428+0.0515932j -0.00793319-0.0127295j -0.00438298+0.032843j -0.0229642+0.0193007j -0.014125-0.0356918j 0.00530003+0.0140448j -0.0361341-0.067501j -0.0335532+0.070106j -0.0107129-0.0443608j -0.0403418-0.0223295j 0.0363862+0.00244878j 0.0210219+0.0451989j -0.0329368+0.0523434j -0.0489644-0.0131849j -0.019682-0.0745877j -0.0413721+0.0213088j -0.0250931-0.0175144j -0.0197412-0.0288192j -0.0742231+0.0119338j 0.0448179+0.0434625j 0.049032+0.00852347j 0.00299722-0.00741423j -0.00707296-0.0704342j -0.0296458+0.0209681j 0.0794325-0.033863j -0.0503573+0.0157709j -0.0416817+0.008107j -0.0139154-0.0148315j -0.0875471-0.0364447j 0.0664093-5.06539e-16j -0.0589803+0.0219709j 0.0169555+0.00040147j 0.0462242+0.0435699j -0.0297097+0.014364j 0.0399779+0.025764j 0.0204799+0.026324j 0.0367615+0.0320092j -0.00658164+0.0624318j -0.062886-0.0426888j -0.00844846-0.0107599j -0.021426+0.0218396j 
-0.0595487+0.0195591j 0.0248398+0.0263578j 0.195445-0.0273559j -0.0280291-0.133261j 0.00053856-0.158945j -0.110067-0.0774949j 0.214514+0.130494j -0.0522427+0.0307744j -0.0507866+0.0223488j -0.0312648-0.0303572j -0.0533836+0.222483j -0.0470459-0.0392892j 0.0327705+0.0730498j -0.0482372-0.0490374j -0.0392472-0.0585065j -0.0108929+0.120648j -0.144141-0.0591116j -0.0500043+0.10296j 0.131095+0.102586j -0.0118592-0.144106j 0.0517234-0.032241j -0.00079749-0.0516457j -0.0725014-0.092752j -0.00257877-0.115578j -0.201415+0.106026j 0.105763+0.0412705j -0.0779958+0.0182627j -0.0196325+0.0540961j -0.00935149-0.0388728j -0.0394494+0.0266561j -0.0108105-0.041474j -0.0220291-0.0703181j 0.0448198-0.0503405j 0.0236063-0.0747989j -0.0766152-0.00649766j -0.0423193-0.0645844j 0.0600833-0.0208013j 0.0190304-0.0341804j 0.0456852+0.0558168j 0.0108616-0.0597797j -0.0556404-0.0206218j -6.65795e-05-0.0158138j 0.0400162+0.122783j -0.0353101-0.0581737j 0.0121233-0.00183319j 0.0490806-0.00669699j 0.049647-0.031011j -0.00679522-0.0243307j -0.00590593-0.0876924j 0.001102-0.0272558j 0.00912984+0.0247599j 0.0100495-0.0262719j 0.00780239+0.0219658j -0.0325326+0.00349048j 0.0768327-0.0168261j 0.027146+0.0416071j -0.0732758-0.0383597j -0.0589803-0.0219709j -0.0154669-0j -0.0349505-0.0275509j -0.086311+0.000449954j -0.0434924+0.0117174j 0.0266339-0.012723j 0.0371765+0.0275539j 0.0179922+0.0253831j 0.00559029+0.0350277j 0.037979+0.00460412j 0.0337994-0.0475498j 0.0135316+0.0240209j 
0.0192897-0.0192108j -0.107366-0.067748j -0.14735+0.0559332j 0.113418+0.175328j 0.070863+0.120187j -0.0670257+0.040687j -0.0891418+0.00408109j 0.0264334-0.0440371j 0.0722111+0.0271908j -0.0545347+0.203384j -0.0312648-0.0303572j 0.0200812-0.0783075j 0.0420596+0.0951698j 0.0413907+0.0878057j -0.0725301-0.0671049j 0.0710801+0.0415795j -0.106546+0.168459j 0.0710222+0.19161j -0.112758-0.0708613j -0.102513-0.118212j 0.0427951+0.0072224j -0.0267211+0.013047j -0.0551095+0.0983089j -0.020454+0.032327j -0.10582+0.00235209j -0.0775126-0.170545j 0.0173823-0.0391545j 0.00433709-0.0220001j 0.0114362-0.0647331j -0.000654945-0.0316917j -0.047075+0.00328652j -0.0384156+0.00222116j 0.0105437+0.0317489j -0.0445564+0.000142645j 5.71977e-05+0.0733708j -0.0179672+0.090026j -0.0179803-0.0189054j -0.048311-0.0243021j -0.0144831-0.0121492j 0.0718703+0.0641855j -0.0020559+0.0350843j -0.00958429-0.00440905j -0.0468507+0.0589155j -0.00554945+0.0189205j -0.00943975-0.0191057j 0.0342855+0.00711934j -0.00346437-0.00545087j 0.0416819-0.00553967j 0.0559607-0.00630073j 0.00758919-0.0103982j 0.0641374-0.0770786j 0.0403196-0.0345225j -0.0324274-0.0415574j -0.0302422+0.0669233j 0.0432987-0.0517036j -0.0384108-0.0299541j -0.0191662-0.00524146j 0.0169555-0.00040147j -0.0349505+0.0275509j -0.0609436+1.66533e-16j -0.0764153+0.00227897j 0.00711484+0.0699393j -0.008329-0.00964659j -0.0724353-0.0366819j 0.00726037-0.0719868j -0.00196282-0.0630842j -0.0340808-0.0616714j -0.0222749+0.0217159j 0.00845764-0.0450032j 
0.0402117+0.0617268j -0.0228417+0.0319444j -0.0131399+0.00341734j 0.0237315+0.100262j 0.107416-0.103625j -0.0246382-0.0295875j 0.125796+0.0467536j -0.124061-0.0134736j 0.0109004-0.189363j -0.0722111-0.0271908j 0.0507866-0.0223488j 0.0158168-0.0738023j -0.0289343+0.0169336j 0.0205087+0.0856119j 0.0625372+0.163204j -0.04381+0.0477387j 0.125199+0.0376019j 0.138031-0.0535756j 0.0500844+0.00443198j -0.13389+0.0441964j -0.0634315-0.143449j 0.0138019+0.0134288j -0.0514153+0.107541j -0.0610241-0.0773658j 0.0423001+0.0225604j -0.020741-0.052949j -0.100006+0.0201273j 0.0045798-0.0129214j -0.00981387-0.00233662j 0.0303693-0.0361818j 0.010171+0.0126955j -0.0215613-0.0237805j -0.0229367+0.0444971j -0.006172-0.0409243j -0.0833346+0.0410094j 0.0144585-0.0396983j -0.00819961-0.0254314j -0.01429+0.0109753j -0.0393731+0.0251217j -0.0203068+0.0215305j -0.0224276-0.0202898j 0.0147178+0.0767144j 0.0191075-0.0231291j -0.0358486+0.0504045j 0.0340357-0.0533019j 0.00454959+0.0911136j 0.0390426+0.0120723j 0.0195396-0.022952j 0.00834063+0.0341052j -0.0601333+0.043494j 0.0467573+0.0123774j 0.0404903+0.0495291j -0.00449492+0.0023183j -0.045281-0.00456548j 0.00709132-0.00709852j 0.00977261-0.0493363j 0.0909435-0.000521848j 0.0462242-0.0435699j -0.086311-0.000449954j -0.0764153-0.00227897j 0.0305835+5.55112e-17j 0.032304-0.0109128j -0.0184723-0.0342025j -0.026958+0.0439709j -0.0387431-0.0104674j -0.000435517+0.0397678j 0.0545718+0.0801619j 0.0505055-0.0509133j -0.00162428+0.0401085j 
-0.0566114-0.145618j -0.0379622+0.0165943j -0.141675-0.385511j -0.217923+0.0183596j 0.233074+0.0257071j -0.0608111-0.0887809j -0.133062-0.0831653j 0.0895605+0.0502219j 0.124061+0.0134736j 0.0264334-0.0440371j -0.0522427+0.0307744j -0.217413-0.0323717j 0.133863+0.0296402j 0.099667+0.0286267j 0.158487+0.0670121j 0.0487859+0.150743j -0.0182683-0.0487621j 0.0224375-0.00716777j -0.113034-0.0306045j 0.041164+0.133486j -0.075456+0.0406475j -0.0117574+0.00114413j -0.0251104-0.0702059j -0.0181835-0.012978j 0.0733361+0.0231944j -0.0048247-0.0207166j -0.0691472+0.0475576j -0.0408527-0.0273813j -0.0524123-0.0507444j -0.00967612+0.0115087j 0.0307456-0.066693j 0.00283317+0.0234381j 0.0253169+0.0150141j 0.00840589+0.0364347j 0.0403864-0.0407606j -0.0679718-0.0286761j 0.0183084+0.0199603j 0.0146202+0.0217202j -0.0362071-0.0219277j -0.0158894-0.0259144j -0.0266206-0.0174409j 0.0124236+0.00646107j 0.0282563-0.0626912j -0.00936454+0.0589735j 0.0260897-0.0327937j -0.000803164-0.0111698j -0.00387736-0.031239j -0.05044+0.0587589j -0.0491313-0.0770964j 0.0333369+0.0264642j 0.0530483-0.0482724j 0.0377921+0.0155342j -0.0338675+0.0681496j 0.0153953-0.0550008j -0.0258054+0.0380278j -0.0311654-0.0716816j 0.0432739+0.00623049j -0.0297097-0.014364j -0.0434924-0.0117174j 0.00711484-0.0699393j 0.032304+0.0109128j -0.0414573+3.81639e-17j -0.00611678-0.0607194j 0.079008+0.0162516j -0.0449292+0.0294747j -0.0664723-0.0506306j 0.0341092-0.104485j -0.0216832+0.055067j -0.00234537+0.0458334j 
0.10776-0.216827j -0.29815-0.0645281j -0.0186469-0.082744j -0.0655567-0.190406j -0.131564-0.108901j -0.00719451-0.0330369j 0.0752432+0.232953j -0.133062-0.0831653j -0.125796-0.0467536j -0.0891418+0.00408109j 0.214514+0.130494j -0.105938+0.0991373j -0.0431311-0.0496629j -0.0115104-0.113072j 0.0330393-0.0257776j -0.00766206-0.109399j 0.0707046-0.191121j 0.0111728-0.125002j 0.0866659+0.0697827j 0.0117703+0.0632961j -0.0145977+0.0287036j -0.0454244-0.0202494j -0.00344836+0.074507j 0.00828867+0.0614027j 0.0661467+0.0500474j 0.0492531+0.0415409j 0.0634692+0.0535982j -0.0288587+0.0096349j -0.00157231+0.011124j -0.00862607+0.00557489j -0.00937565-0.00818432j 0.0217764+0.0640384j -0.0206328+0.00351247j 0.00149121-0.0410229j 0.0446429-9.08935e-05j -0.00416602+0.0258084j -0.0133613-0.0504303j -0.00875178+0.0447081j 0.0171256+0.0233056j 0.00524544+0.0302511j -0.00177555-0.0370675j 0.0516992+0.0452973j -0.0135742-0.0322173j 0.0233883+0.0372503j -0.00344434+0.0321834j 0.00592017+0.0216884j 0.0101969-0.0404996j -0.00619227+0.0447833j 0.0392248+0.00849596j 0.0384215-0.046626j 0.0093498-0.0231549j -0.00641903+0.0209135j -0.0697418-0.000908929j 0.0109248+0.0160164j -0.0302793-0.0408959j 0.0169409-0.0517414j 0.0384713+0.0515223j 0.0399779-0.025764j 0.0266339+0.012723j -0.008329+0.00964659j -0.0184723+0.0342025j -0.00611678+0.0607194j -0.036795+2.77556e-17j -0.0776641-0.00873327j 0.00690816-0.0399249j -0.0187805-0.0307595j -0.0494814-0.0510057j -0.00796238+0.0778125j -0.0301323-0.109442j 
0.36927-0.0393585j 0.0979179-0.346195j -0.0693109+0.0783402j -0.0870993-0.0384j 0.00425909+0.0814537j -0.0430437+0.19064j -0.00719451-0.0330369j -0.0608111-0.0887809j 0.0246382+0.0295875j -0.0670257+0.040687j -0.110067-0.0774949j -0.0965561-0.0753772j -0.0449239+0.0276528j 0.0223143+0.0519491j -0.00533307-0.160332j 0.0120218-0.091999j -0.0812438-0.00660285j -0.131715-0.0697024j 0.0337215-0.0965368j 0.128263-0.0968859j -0.00781524+0.0491793j 0.0640153-0.0510559j 0.0370425-0.0459328j 0.0127914-0.00461872j 0.0243227-0.0353587j -0.0717402+0.0253473j 0.0611767-0.0350186j 0.0358999+0.000817078j 0.040667-0.0346092j 0.00247513-0.00990908j 0.108396-0.0184807j -0.00195396+0.00991746j 0.0273088+0.0228546j 0.0681587+0.00993647j 0.00614983+0.0317546j -0.00170148-0.0182214j -0.0349825+0.0246089j 0.00419537+0.0265368j -0.0439982+0.0536247j 0.0370316-0.00113104j 0.0187614-0.022673j 0.00839217+0.047608j 0.0147149+0.0120576j 0.00951997+0.0203197j -0.00328331-0.0313995j 0.04388-0.00417315j 0.013651+0.0253312j -0.047729+0.000888091j 0.0393613-0.0148736j -0.0197214+0.0575108j -0.0175191+0.0720123j 0.00359296-0.048178j -0.0448433-0.0356007j 0.0688381+0.0102343j 0.00662402+0.00544671j 0.00144709+0.0374043j -0.0096296+0.0393868j 0.0204799-0.026324j 0.0371765-0.0275539j -0.0724353+0.0366819j -0.026958-0.0439709j 0.079008-0.0162516j -0.0776641+0.00873327j 0.0842488-1.249e-16j -0.111143-0.00550722j -0.03902-0.0336478j -0.0679182-0.0370458j -0.0470937-0.052908j -0.00593816-0.0337926j 
-0.0224979-0.199103j -0.153456+0.136778j -0.0775236+0.0401255j 0.0978714+0.0178466j -0.0627282+0.133541j 0.00425909+0.0814537j -0.131564-0.108901j 0.233074+0.0257071j -0.107416+0.103625j 0.070863+0.120187j 0.00053856-0.158945j 0.0141797+0.0165797j 0.0480993+0.0627344j 0.0077206+0.0588235j 0.133311+0.0415344j 0.00145705-0.0296406j 0.0673354-0.185945j 0.0579856-0.0497763j 0.0979296-0.113775j -0.00765046+0.0355862j -0.0726059-0.114586j -0.0541834+0.030831j 0.0113445-0.0136598j 0.0268726-0.0401756j -0.0173009+0.029373j -0.0164499-0.00623547j 0.0105563-0.049257j 0.0233219-0.0489124j -0.00167303-0.0252872j 0.027067+0.0100317j 0.0027409+0.0334435j -0.0418095-0.0455673j -0.0316863-0.0241327j -0.0318809-0.0343997j -0.0481615+0.0227376j 0.039338+0.0131184j -0.0248909+0.0197383j -0.00318571-0.0272095j -0.000839421-0.0523842j 0.0108317-0.0525891j 0.0278591+0.00889612j 0.00310958+0.0213394j -0.00300379-0.0221774j -0.0316458-0.0215959j -0.0120179+0.00870185j -0.0249479-0.0028825j 0.0464662+0.0230094j 0.0187523-0.0508666j -0.0309986+0.0287094j 0.0174382+0.0411859j -0.04556+0.00594758j -0.0361691+0.0190537j -0.0220656+0.0146661j 0.00753219+0.00152634j 0.0242288-0.0129317j 0.0745019+0.0146364j -0.0385759+0.00719792j 0.0367615-0.0320092j 0.0179922-0.0253831j 0.00726037+0.0719868j -0.0387431+0.0104674j -0.0449292-0.0294747j 0.00690816+0.0399249j -0.111143+0.00550722j -0.0679324+5.55112e-17j -0.0723416-0.0220906j 0.0629621+0.0955818j -0.00279355-0.0515012j -0.0305852+0.0276176j 
-0.0454694-0.222074j -0.044374-0.00846533j -0.0367129+0.0316052j 0.0944071-0.133279j -0.0978714-0.0178466j 0.0870993+0.0384j 0.0655567+0.190406j 0.217923-0.0183596j 0.0237315+0.100262j -0.113418-0.175328j 0.0280291+0.133261j 0.0409729-0.218422j -0.10211+0.0387203j -0.0633702-0.0754708j 0.0212153+0.00478212j 0.0995475+0.0491729j -0.053347-0.0671989j 0.0774489-0.00785223j -0.0386198-0.100295j -0.0166164+0.0366186j -0.00171241-0.012903j 0.0209283+0.0257242j -0.0160899+0.0422604j 0.00590339+0.0110038j -0.0335893-0.0255517j -0.0332195-0.0345813j 0.0359584-0.00852387j 0.0156855+0.0304724j 0.0204297+0.00763018j 0.0117746+0.0343777j -0.0124827-0.0136436j -0.00524712+0.0264446j -0.00505016+0.00277716j -0.0480591+0.00974087j -0.0256297-0.0190936j -0.0537327-0.0237672j -0.0105271+0.0316532j 0.0209981+0.00836237j 0.0176824+0.0147271j 0.0358309+0.0103116j -0.00611731+0.0125724j -0.0210337-0.0299375j -0.0107072-0.0562136j -0.0355947-0.0388347j 0.0127906-0.0444734j 0.000761468-0.0193175j 0.00422891-0.0237293j 0.00691117-0.0418217j 0.0143255+0.0178336j -0.0337962-0.0288785j 0.0548278+0.0754676j -0.00621402-0.0366541j -0.0123262+0.00126226j 0.0307016+0.0709607j 0.00702308+0.0320642j 0.00298308-0.0156959j -0.0436697+0.0204473j -0.00658164-0.0624318j 0.00559029-0.0350277j -0.00196282+0.0630842j -0.000435517-0.0397678j -0.0664723+0.0506306j -0.0187805+0.0307595j -0.03902+0.0336478j -0.0723416+0.0220906j -0.050464-5.55112e-17j 0.085881+0.0452756j -0.0159943-0.037709j 0.0640695+0.128103j 
0.0177004-0.0191965j 0.0707333+0.126412j -0.0300301-0.134182j -0.0367129+0.0316052j 0.0775236-0.0401255j 0.0693109-0.0783402j 0.0186469+0.082744j 0.141675+0.385511j -0.0131399+0.00341734j 0.14735-0.0559332j -0.195445+0.0273559j 0.0846048+0.0215629j -0.0642338-0.091432j 0.0812161-0.00897951j -0.0324854+0.0881322j -0.0132039+0.0215771j 0.0230181-0.0194192j -0.0629867-0.0105051j 0.00340002-0.0242073j 0.050011+0.0168586j 0.0288635-0.0148334j -0.039948-0.0778073j -0.0220029+0.0158344j 0.00364116+0.0481373j -0.00815617-0.0148679j 0.0327231-0.0313318j 0.0594702+0.0145838j -0.0100584+0.0616193j 0.00257281-0.0110689j -0.0217212+0.051388j 0.00860956-0.00272381j 0.00819371+0.0292233j 0.00691792+0.014196j -0.0134003+0.0180386j 0.0142181-0.0201198j -0.0209828+0.000184863j -0.0125275-0.00750981j 0.000388646+0.0317266j -0.000274612+0.0157268j -0.0202341+0.0401713j -0.00365872+0.0159564j 0.0379003-0.0315182j -0.0370771-0.0145213j 0.000981226-0.0234369j -0.00719663-0.0190624j 0.0261135+0.00788527j -0.00183699-0.0164475j -0.0157755-0.019422j 0.0275948-0.0334028j -0.0338764-0.0327012j 0.00302593-0.0113966j 0.00641651-0.00775739j -0.00723145-0.021667j 0.0280148+0.0410017j 0.00539471+0.0332472j 0.00140021+0.0131125j 0.0241571-0.0372433j -0.062886+0.0426888j 0.037979-0.00460412j -0.0340808+0.0616714j 0.0545718-0.0801619j 0.0341092+0.104485j -0.0494814+0.0510057j -0.0679182+0.0370458j 0.0629621-0.0955818j 0.085881-0.0452756j -0.066941-5.55112e-17j -0.0997647-0.114438j -0.0340924-0.0424259j 
